Word,Reading ,Meaning,S1,T1
上手く,うまく,"skilfully, well",上手く利用する,make good use of    
安く,やすく,cheaply,安く買える    ,can buy cheaply
深く    ,ふかく,deeply       ,深く吸って    ,inhale deeply       
早く,はやく,quickly        ,早く帰った    ,back quickly        
すごく,すごく,very,すごく優しい  ,very kind           
短く,みじかく,cut shortly         ,短く切りました,cut shortly         
詳しく,くわしく,detailed,詳しく説明した,explained in details
綺麗に,きれいに,"carefully, neatly",綺麗に洗って,wash carefully
特別に,とくべつに,specially,特別に準備しておく,special preparations
大切に,たいせつに,carefully,大切に育てる,raise carefully
ちゃんと,ちゃんと,properly ,ちゃんと聞いて,listen properly 
よぶよぶに,よぶよぶ,shaky,よぶよぶになる,become shaky
すっかり,すっかり,completely,すっかり疲れた,tired completely
ゆっくり,ゆっくり,slowly     ,ゆっくり歩け,walk slowly     
ピカピカ,ピカピカ,sparkly,ピカピカ光った,flashed sparkly
ふらふら,ふらふら,unsteadily,ふらふら歩く,walk unsteadily
初めて,はじめて,first time,初めて遊んだ,first time to play
極めて,きわめて,extremely,極めて明快だ,extremely clear
優れて,すぐれて,exceedingly,優れて大変だ,exceedingly difficult
きれいに,きれいに,neatly,きれいに掃除した,cleaned neatly
すっかり,すっかり,completely,すっかり忘れた,completely forgot
ゆっくり,ゆっくり,"leisurely, well",ゆっくり眠れない,can't sleep well
まっすぐ,まっすぐ,straightly,まっすぐ行きなさい,go straight ahead
ちょうど,ちょうど,exactly ,ちょうどはじめた,began exactly 
はっきり,はっきり,clearly ,はっきり答える,answers clearly 
まったく,まったく,"really, completely",まったく困らない,not bothers really
ちゃんと,ちゃんと,properly,ちゃんと読める,can read properly
きちんと,きちんと,accurately,きちんと動かない,can't move accurately
無事に,ぶじに,safely,無事に持ってきた,return safely
早速,さっそく,immediately,早速読んだ,read immediately
もっと,もっと,more,もっと見たい,see more
もっとも,もっとも,"extremely, most",もっとも忙しい,extremely busy
いちばん,いちばん,most,いちばんおいしい,most delicious
だいぶ,だいぶ,"pretty, considerably",だいぶ暖かい,pretty warm
非常に,ひじょうに,very,非常に危ない,very dangerous
ほとんど,ほとんど,almost,ほとんど終わった,almost finished
いっさい,いっさい,absolutely,いっさいしない,doesn't do it absolutely
実に,じつに,"really, truly",実に頭がいい,really clever
かなり,かなり,"considerably, fairly",かなり寒い,considerably cold
結構,けっこう,"quite, reasonably",結構面白い,quite interesting
極めて,きわめて,extremely,極めて深刻だ,extremely critical
すっかり,すっかり,completely,すっかり曇った,clouded completely
大変,たいへん,very,大変興奮した,very excited
とても,とても,very,とても暑い,very hot
すごく,すごく,very,すごく変,very odd/strange
たくさん,たくさん,a lot,たくさん食べちゃった,ate a lot
大いに,おおいに,a lot,大いに異なっている,differs a lot
わずかに,わずかに,slightly,わずかにカーブした,curve slightly
ずいぶん,ずいぶん,"very, extremely",ずいぶんおしゃれだね,very stylish
少し,すこし,a little,少し疲れた,a little tired
あまり,あまり,(not) very,あまり見えない,can't see much
ぜんぜん,ぜんぜん,not at all,ぜんぜんできない,can't do at all
なかなか,なかなか,"pretty, fairly",なかなかやるなあ,pretty good
まあまあ,まあまあ,so-so,まあまあ見られた,not so bad to watch
あらかじめ,あらかじめ,"beforehand, previously",あらかじめ準備して,prepare before 
