Sentences,Translation
あなたにまた会えたのでとてもうれしかったです,It was very nice seeing you again.
ケモナーのイベントでトムに会った,I met Tom at a furry convention.
あなたにまた会えてうれしかったです,It was very nice seeing you again.
ボストンで会った,We met in Boston.
また会いましょう,See you again.
先例を追う,follow a precedent
順を追って説明します,I'll explain them in order.
日を追って暖かくなってきた,It is getting warmer day by day.
年を追って成熟してきた,With each passing year she has become more mature.
流行を追う,follow the fashion
予習に追われる,be busy with preparations for school
地位を追われる,be ousted [driven] from one's post
故郷を追われた,I was driven out of my hometown.
国を追われる,be exiled from one's country
獲物を追う,chase game
泥棒［犯人］を追う,pursue a thief [criminal]
追う者と追われる者,the pursuer and the pursued
トンネルを過ぎて車は海岸に出た,"Passing through a tunnel, the car came to a beach."
彼は30を過ぎている,He is over thirty.
この荷物は20キロを過ぎている,This baggage exceeds [is over/is above] twenty kilograms.
約束の時間を過ぎているのに彼女はまだ来ない,"It is past the time we agreed on, but she hasn't come yet."
３年過ぎて,three years later
あれから５年が過ぎた,Five years have passed [elapsed] since then.
それはもう過ぎたことだ,It is a thing of the past.
過ぎたことは仕方がない,What's done cannot be undone.
夏休みが過ぎた,The summer vacation is over.
男盛りが過ぎた,He is past his prime.
私の免許証の期限は３日前に過ぎていた,My license had expired three days before.
答えを全部書き終わらないうちに時間が過ぎた,Time ran out before I finished writing all the answers.
彼はわがままが過ぎる,He is too willful.
ちょっと冗談が過ぎたね,You carried your joke a bit too far.
お前には過ぎた女房だ,She is too good a wife for you.
飲み過ぎる,drink too much
世話を焼き過ぎる,fuss unnecessarily over a person
この本は難し過ぎてわからない,This book is too difficult for me to understand.
いすが一つ多過ぎる,There is one chair too many.
荷物が２キロ重過ぎます,Your luggage is two kilograms over the weight limit.
このスーツケースは重過ぎる,This suitcase is overweight.
彼は働き過ぎて病気になった,He overworked and fell ill.
親には孝行し過ぎるということはない,You cannot be too good to your parents.
彼は熱心過ぎる,He is too [overly/excessively] enthusiastic.
先生は授業を始めた,The teacher began his lesson.
すぐに食べ始めた,He began 「to eat [eating] right away.
雨が降り始めた,It began [started] to rain.
彼は商売を始めた,He started a business.
油絵［ゴルフ］を始める,take up painting [golf]
20ページから始めよう,Let's begin on page twenty.
あなたから始めて下さい,You go first.
花が咲き始めた,The flowers are coming out.
川は市内を流れている,The river flows through the city.
岩の上を水がちょろちょろ［勢いよく］流れていた,Water was 「trickling down [gushing] over the rocks.
鼻から血が流れていた,He was bleeding at the nose.
涙がほおを流れた,Tears streamed down her cheeks.
橋が流れた,The bridge was carried [washed] away.
木片が川を流れてきた,A piece of wood came floating [drifting] down the river.
雲が走るように［ゆっくりと］流れていく,Clouds are racing [drifting] across the sky.
肉を焼くにおいが流れてきた,The smell of roasting meat came drifting [wafting] through the air.
一座に友好的な空気が流れていた,A friendly atmosphere prevailed among those present.
そんなうわさが流れているのですか,Is there such a rumor going around?
町中に怪文書が流れている,A mysterious [strange] document is being circulated throughout the town.
歳月は流れて，そのことは忘れられてしまった,With the lapse of time the event was forgotten.
それから10年の月日が流れた,Ten years have passed since then.
彼は北から南に流れて行った,He wandered [drifted] from north to south.
会が流れた,The meeting fell through.
ナイターは雨のために流れた,The night game was rained out.
弾が流れた,The shot went astray.
ボールは左に大きく流れた,The ball strayed off far to the left.
体操選手は着地した時，左足が流れた,"When the gymnast landed, his left foot slipped."
事はすべてスムーズに流れている,Everything is going well [smoothly].
テレビの画面が流れている,The image on the TV screen is flickering.
抵当物が流れた,The mortgage was foreclosed [forfeited].
狭いアパート暮らしから脱出する,Escape from living in a small apartment.
市場の拡大を図っている,They are planning ways to expand their market.
彼は再挙を図った,He tried to recover his lost standing.
公益を図る,Work for the good of the public.
私利を図る,Try to advance one's own interests.
彼らは友達と手を取り合って喜んだ,They grasped their friends' hands and rejoiced.
彼は友達と１つのゲームを取り合った,He and his friends fought over one game.
彼は訪問者をまったく取り合わなかった,He completely neglected his guests.
先生はその生徒から漫画を取り上げた,The teacher confiscated the pupil's comic book.
その新製品は多くの週刊誌で取り上げられた,Talk of that new product was in many weekly newsmagazines.
彼はいろいろな記念切手を取り集めた,He collected all kinds of commemorative stamps.
彼は取引先に取り入った,He curried favor with his client.
その国は外国の文化をどんどん取り入れた,That country eagerly absorbed a lot of cultural elements from other nations.
