Words,Reading,Meaning
ラーメン ,ラーメン ,ramen
日帰り,ひがえり,day trip
温泉,おんせん,hot spring
巡ろう,めぐろう,go around
湯治,とうじ,hot-spring cure
フリー,フリー,free
期間,きかん,period
シール,フリー,seal
集める,あつめる,gather
プレゼント,プレゼント,present
当たる,あたる,"hit, win"
チャンス,チャンス,chance
豪華,ごうか,"wonderful, gorgeous"
特産品,とくさんひん,local specialty
詰め合わせ,つめあわせ,assorted
セット,セット,set
場所,ばしょ,place
米沢,よねざわ,Yonezawa (place)
会津,あいず,Aizu (place)
若松,わかまつ,Wakamatsu (place)
奈良,なら,Nara (place)
ごよみ,ごよみ,read
一年中,いちねんじゅう,all year round
花,はな,flower
いっぱい,いっぱい,"a lot, full of"
古都,こと,ancient city
といえば,といえば,speaking of
世界,せかい,the world
遺産,いさん,heritage
お寺,おてら,temple
鹿,しか,deer
有名,ゆうめい,famous
でも,でも,but
それ,それ,that
だけ,だけ,"only, just"
ありません,ありません,not to exist or have
どこか,どこか,somewhere
咲いている,さいている,blooming
美しい,うつくしい,beautiful
四季,しき,the four seasons
彩る,いろどる,to colour
春,はる,spring
夏,なつ,summer
秋,あき,autumn
冬,ふゆ,winter
公園,こうえん,park
川,かわ,river
覆い尽くす,おおいつくす,to cover fully
桜,さくら,cherry blossom
色,いろ,color
とりどり,とりどり,various
咲き乱れる,さきみだれる,to bloom in profusion
花々,はなばな,flowers
街,まち,town
山,やま,mountain
錦,にしき,brocade
紅葉,こうよう,fall colors
寒さ,さむさ,coldness
和む,なごむ,to be softened
和らげる,やわらげる,to soften
可憐,かれん,"sweet, lovely"
赤,あか,red
白,しろ,white
神戸,こうべ,Kobe (place)
時間,じかん,"time, hour"
その,その,that
瞬間,しゅんかん,"moment, instant"
夜,よる,"night, evening"
夜とばり,よるとばり,curtain of night​
下りる,おりる,"descend, go down"
輝く,かがやく,"to shine, sparkle"
輝きだす,かがやきだす,begin to shine
美しい,うつくしい,beautiful
イルミネーション,イルミネーション,illumination
星屑,ほしくず,stardust
降り注いだ,ふりそそいだ,poured down
ような,ような,"like, similar to"
夜景,やけい,night view
忘れて,わすれて,forget
ずっと,ずっと,throughout
眺めて,ながめて,"look, view"
眺めていたくなる,ながめていたくなる,you'll want to look at it
高山,たかやま,Takayama (place)
市街,しがい,"streets, town"
城下町,じょうかまち,castle town
として,として,"as, for"
面影,おもかげ,"face, looks, trace"
薫る,かおる,to be fragrant
歴史,れきし,history
文化,ぶんか,culture
凝縮した,ぎょうしゅくした,condensed
町,まち,town
