W1,T1,W2,T2,W3,T3
調査を継続する,carry over an inquiry,緑の季節,the season of green,彼は現状を大いに嘆いた,he greatly lamented the current situation
私ならこうします,I'd do it this way,委員長の座をねらっている,he is aiming at the chairmanship,ご親切誠にありがとうございます,thank you for your kindness
家計を支える,support the family budget,彼らは列車に乗り込んだ,they boarded the train,飲み物は何がありますか,what kind of drinks do you have?
緊張を緩める,relieve the tension,試合はまだ続いている,the game is still on,彼は次第に出世した,he worked his way up
特許権を侵す,infringe a patent,講師は本題から脱線してしまった,the lecturer wandered away from the subject,彼女は来週パーティーを催す,she's hosting a party next week
資源が豊かである,have abundant natural resources,子供たちと真剣に向き合う,deal with children seriously,我々は法律に従う義務がある,we have a duty to obey the law
生死にかかわる問題　,a matter of life and death,連日交通事故が起きる,traffic accidents happen every day,両者は対比的な関係にある,the two are in a contrasting relationship
進路変更のために退学する,withdrawal from school due to change of course,植物を採集する,collecting plants,売れ残った雑誌を引き取る,take back unsold magazines
その作家は私たちによく知られています,that writer is well known to us,脚を蚊に食われた,a mosquito bit me on the leg,やっと金曜日ですよ,it's finally friday
彼は学者を志している,he's an aspiring scholar,腕を組んで座る,sit with one's arms folded,私は空に不思議な動く物体を見た,i saw a strange moving object in the sky
駅への道を教える,I'll show you the way to the station,彼は医学の研究に携わっている,he's involved in medical research,お母さんになる,become a mother
次女,second daughter,水準,"level, standard",送金,to send money
滅びる,to perish,経歴,"career, personal history",詩,poem
伝わる,to convey,観察,observation,対象,target
高い,"high, expensive",番地,address,資金,"funds, capital"
風景,"landscape, scene",疲労,fatigue,行進,"march, parade"
追い越す,overtaking,低い,low,無言,silence
批判,criticize,見せる,to show,不満,dissatisfaction
防止,prevention,組み込む,to include,一致,agreement
作る,to make,隠そうとして,trying to hide it,到底,(not) at all
言語,language,元気,energy,変える,to change
短大,junior college,防火,fire prevention,痛い,painful
相互,mutual,火災保険,fire insurance,要注意,need for caution
眠くてたまらない,so sleepy,女子,"woman, girl",お腹,stomach
波,wave,青年,youth,両方,both
西日,west day,苦労,hardship,売り上げ,sales
明後日,day after tomorrow,天候に応おうじた,according to weather,参謀,participation
二日酔い,hangover,探す,searching,参入,entering
今日,today,恥,shame,進化,"evolution, progress"
全部,all,サイクロン,a cyclone,そう言えば,speaking of which
適切,appropriate,意味において,in the sense of,刑事,detective
偽物,counterfeit,起こる,happening,済む,the place
津波,a tsunami,破壊する,to ravage,注意力,attentiveness
凍結する,to freeze,重い,heavy,バランスシート,a balance sheet
学説,theory,作者,author,泊まる,overnight
霧雨,a drizzle,主任,chief,店主,a shopkeeper
受取り,"receiving, receipt",所得税,the income tax,調査,survey
曇り,cloudy,黒字,black figures,丸め込む,"to coax, to cajole"
股,crotch,火付け役,fire starter,加わる,to be added to
母の日,mother's day,歯科,dental,無用,useless
輝く,to shine,信念,belief,華やか,glamorous
日本中,all of japan,浴びる,exposed,電池,batteries
乾季,the dry season,破壊する,to destroy,輸送,transport
論文,papers,漢字,kanji,参る,participate
日増しに,day by day,議題,agenda,多忙,busy
何日も,many days,宣伝,advertising,永久歯,permanent tooth
好き,like,主題,subject,添える,accompany
九日,"9 days, 9th day",新月,new moon,好意,favor
読む,read,敬意,respect,小売業者,a retailer
家,house,災害,a disaster,優先するあまり,too much of a priority
日ごろ,"normally, habitually",強まる,strengthen,固有,unique
寒いです,it’s cold,議題,an agenda,費用,costs
日本酒,japanese sake,禁じる,forbid,丸顔,round face
外付,external drive,協力,cooperation,付加価値税,value added tax
生命,life,医科,medical science,売上高,the turnover
学校,school,干ばつに耐える,to endure a drought,殺意,intent to kill
日焼け,sunburn,がれき,the rubble,売上高,sales figures
分類,classification,不在,absence,未知,unknown
雲,the clouds,月末,end of month,並べる,to line up
特殊,special,科する,"to inflict, to impose",両天秤,two alternatives
物質,material,診断,diagnosis,不用意,unprepared
現像,developing,意義,"meaning, significance",両日,both days
観光客,a tourist,自然災害,a natural disaster,到着,arrival
祭日,holidays,競争,the competition,持参人,bearer
漏らす,divulge,食べる,eat,爆発,explosion
小児科,pediatrics,解決しなさい,solve it,首相,prime minister
言う,say,火山活動,volcanic activity,屡々,often
当人,the person,慈善団体,a charity,定期,periodic
持つ,have,世間,world,態勢,attitude
子供,child,行方不明になる,to be missing,設備,equipment
定休日,regular holiday,うれしさのあまり,with great joy,組む,assemble
日食,solar eclipse,電光石火,lightning,雨,rain
霧,the fog,無知,ignorance,未定,undecided
雪が降っています,it is snowing,色,color,晩,evening
内陸,inland,科学技術,science and technology,巨視的,macroscopic
食事の後で,after the meal,領土,territory,注意書き,"notes, instructions"
財産,property,震源地,the epicenter,値下げ,a price reduction
面する,face,進行方向と逆に,against to travel direction,密か,secret
飛ぶ,fly,満月,full moon,叫ぶ,shout
雪が降る,to snow,賛成,for,費用,cost
承知,understanding,酒,alcohol,丸々,"chubby, entirely"
次,next,花火大会,fireworks display,混乱,confusion
起こす,wake,年月日,year month day,補給,supply
開ける,open,非常口,an emergency exit,突く,poke
学習する上で,in learning,創業,establishment,洪水,flood
日替わり,changing every day,養う,nurture,横串,crossing boundaries
売り出す,sell,程度,the extent,曜日,day of the week
真夏日,midsummer day,追跡,tracking,居並ぶ,to be arrayed
吹雪,a snowstorm,騒動,disturbance,定食,regular meal
曜日,day of the week,姉,sister,触る,touch
高まるとともに,with the rise of,経費,expenses,容易,easy
昔日,old days,意志,will,売り上げ,sales
高速,high speed,生年月日,date of birth,幸い,happiness
受領書,receipt,溶岩流,a lava flow,焼き串,skewer
古い,old,耳,ear,渇く,thirsty
霧雨,the drizzle,右,right,勇気,courage
何日,what day,宿泊施設,an accommodation,届けるべき,should deliver
学者,scholars,胸,chest,クーポン,a coupon
沈没,sinking,大胆,boldness,竹串,bamboo skewer
義務,obligation,笑う,smile,ニッチ,a niche
考慮,consider,取る,take,弾丸,bullet
今,now,傾ける,tilt,参照,reference
日陰,shade,火遊び,playing with fire,貿易台帳,the trade register
保存,storage,短縮,shorten,創意,original idea
晴れ,clear,反する,oppose,両院,both house
買う,buy,科目,(school) subject,知事,governor
聞く,hear,警告ホーン,a warning horn,近く,close
降水量,a precipitation,暮らす,live,参考,Reference
質,quality,政府にとって,for the government,名付ける,name
近視,myopia,月収,monthly income,見た後で,after seeing
日焼け,a sunburn,致す,to do,天丼,tempura donburi
付き添う,to attend on,制服,uniform,直る,get well
ある日,one day,偏見,prejudice,事業契約,a business contract
無能,incompetence,ステーキとしては,as for the steak,抜ける,exits
依頼,request,津波,a tidal wave,リスク,the risk
言葉,words,払う,sweep,大家,landlord
少ない,less,寝る,sleep,並ぶ,to stand in a line
生年月日,date of birth,科目,subjects,意味不明,ambiguous
許可,allow,科学,science,城,castle
全日本,all japan,噴火,eruption,売上高,a turnover
単調,monotony,配達,delivery,無意識,unconsciousness
交互,alternation,兄,brother,外貨,foreign currency
今日,today,結婚,marriage,服,clothes
引き受ける,to undertake,火器,firearms,墓地,cemetery
引っ付く,to stick to,開催,holding a meeting,間接費,overhead expenses
霧,"foggy, misty, hazy",激しい,torrential,参院,attendance
日記,diary,一月,january,一両,one vehicle
需要,demand,異常,abnormal,暑いということだ,It means it's hot
気象学,meteorology,説,theory,久しぶり,a long time
午前,morning,常識,common sense,運びたくなる,want to carry
手当て,provide medical attention,正月,new year,路面,road surface
日当たり,exposure to the sun,月並み,monthly,私にとって,for me
季節,the season,製品に限って,only for products,流通経路,a channel of distribution
植民地,colonies,不意,"sudden, abrupt",出場,appearance
人情,humanity,破局,a catastrophe,参観者,visitor
誰,who,訴え,appeal,サンプル,a sample
差別,discrimination,開ける,open,丸ごと,in its entirety
付いて来る,to follow,女の子,girl,両面,both sides
働く,work,食糧不足,a scarcity of food,待遇,treatment
