Grammar,Meaning,Structure,S1,S2,S3,S4,T1,T2,T3,T4
ば..のに,If.. would have,⚭ Vba・I-adj+kereba・Na-adj+nara・N+nara + ..noni,あと１０分早く家を出れば間に合ったのに,彼はもう少し身長が高ければ完璧なのに,もう少し安ければ買うのに,もっと早く連絡くれればよかったのに,"If we'd left ten minutes earlier, we would have made it.","If only he were a little taller, he'd be perfect.","If it were cheaper, I'd buy it.",You should have called me sooner.
せいで,"because of, on account of, due to",⚭ Vplain・N+no + sei de,コーヒーを飲んだせいで全然寝られない,電車が遅れたせいで遅刻してしまった,昼寝をしたせいでなかなか寝られない,雨のせいで楽しみにしていたコンサートが中止になった,I can't sleep at all because of the coffee I drank.,I'm late because my train was late.,I can't sleep well because of the nap I took.,The concert I was looking forward to was cancelled because of the rain.
おかげで,thanks to,⚭ Vplain・I-adj・Na-adj+na・N+no + okage de,薬を飲んだおかげで、すっかり元気になりました,たばことお酒をやめたおかげで、体調がよくなった,彼女のおかげで、僕は毎日幸せだ,友達のおかげで私は今の彼女と出会うことができました,"Thanks to the medicine I took, I feel much better.","Thanks to quitting smoking and drinking, I feel better now.","Thanks to her, I am happy every day.","Thanks to my friends, I was able to meet my current girlfriend."
ずに,without doing,"⚭ Vneg-stem + zuni, Suru-neg + zuni → se zuni",傘を持たずに出かけてしまった,宿題をせずに学校に行ったら先生に怒られました,朝ごはんを食べずに来たので、お腹がペコペコです,昨日、お風呂に入らずに寝てしまった,I went out without an umbrella.,I went to school without doing my homework and the teacher got angry.,"I came here without eating breakfast, so I'm starving.",I fell asleep without taking a bath last night.
ふりをする,"to pretend, as if, looks like",⚭ Vplain・I-adj・Na-adj+na・N+no + furi o suru,息子たちは夜、私が部屋に入ると寝たふりをする,先輩はいつも忙しいふりをして、仕事をサボっている,どうして知らないふりをしているの？,どうしてみんな見て見ぬふりをするの？,My sons pretend to be asleep when I enter their room at night.,Seniors are always pretending to be busy and skipping work.,Why are you pretending not to know?,Why does everyone pretend to ignore it?
代わりに,"instead of, in place of, as a substitute for, in exchange for (replacement, compensation)",⚭ Vru・N+no + kawarini,私は夜早く寝る代わりに朝早く起きで勉強している,今晩、泊めてあげる代わりに、部屋の掃除と洗濯をしてね,印鑑のかわりに、サインでも構いませんよ,宿題を手伝ってくれたらその代わりに晩ご飯をご馳走するよ,"Instead of going to bed early at night, I wake up early in the morning to study.","In exchange for letting me stay here tonight, I clean the room and do the laundry.",You can use your signature instead of your personal seal.,"If you help me with my homework, I'll treat you to dinner in return."
がち,"apt to, liable to, tend to, inclined to",⚭ Vnoun-stem・N + gachi,外食が多いと、野菜が不足しがちだ,大学を卒業すると、当時の友達とは疎遠になりがちだ,このあたりの電車はよく遅れがちなのだ,多くの学生がこの種の問題を間違いがちだ,"When you eat out a lot, you tend to be lacking in vegetables.","When you graduate from college, you tend to drift apart from your friends from back then.",Trains in this area are often delayed.,A lot of students tend to get these kinds of questions wrong.
ぶり,after (period of time) again,⚭ N + buri,,,,,,,,
かけ,"partially done, haven’t completely done",⚭ Vnoun-stem + kake,,,,,,,,
はもちろん,"is of course, is obvious and goes without saying",⚭ N + wa + mochiron,,,,,,,,
ばかりでなく..も,not only but also,⚭ Vplain + bakari de naku.. mo,,,,,,,,
一方だ,"on the other hand, on one hand, on one direction",⚭ Vru + ippou da,,,,,,,,
も..ば..も,"shows variation, different cases",⚭ N mo + Vba + N mo,,,,,,,,
疑問詞..ても,no matter what/when/who/which/why/etc,⚭ Question word + Vte + mo,,,,,,,,
ほど..ない,is not as much as,⚭ N wa + N hodo + Adj-nai,,,,,,,,
てほしい,i want you to do something,⚭ Vte + hoshii,,,,,,,,
ほしがる,(third person) want something,⚭ N + o + hoshigaru,,,,,,,,
から..にかけて,from..to..,⚭ N + kara + N + ni + kakete,,,,,,,,
わけにはいかない,can’t do due to social/moral/situational reasons,⚭ Vru・Vnai + wakeni wa ikanai,,,,,,,,
だけでなく..も,not only but also,⚭ Vplain + dake de naku.. + mo,,,,,,,,
によって,depending on,⚭ N + ni + yotte,状況によって、敬語やカジュアルな表現を使い分ける必要があるので、日本語は難しい,天候によっては、明日のイベントは中止になるかもしれない,料金は、荷物の重さや大きさによって変わります,日本では季節によって、服装を変えます,Japanese is difficult because you need to use different honorifics and casual expressions depending on the situation.,"Depending on the weather, tomorrow's event may be cancelled.",Prices vary depending on the weight and size of the package.,"In Japan, we change our clothes according to the season."
ために,"because, because of, due to",⚭ Vplain・I-adj・Na-adj+na・N+no + tame (ni),大雨のため、試合は中止になった,台風が接近しているため、本日は休講です,強風のため、乗る予定だった便は欠航になった,今年は例年よりも気温が低かったために、野菜の値段が高い,"Due to heavy rain, the game was canceled.",Classes are cancelled today due to the approaching typhoon.,The flight I was supposed to take was cancelled due to high winds.,Vegetable prices are high this year due to lower than usual temperatures.
たびに,"each/every time something happens, these things also happens",⚭ Vplain・N+no + tabi ni,彼女は会うたびに、綺麗になっていく,海外旅行するたびに、お腹をこわす,この曲を聞くたびに、彼のことを思い出す,出張のたびにお土産を買わなければならないのは、面倒だ,"Every time I see her, she gets more beautiful.","Every time I travel abroad, I get a stomach ache.","Every time I hear this song, I think of him.",It's a hassle to have to buy souvenirs for every business trip.
たものだ,"would often, used to",⚭ Vta + mono da,子供の時は、よく友達とサッカーをしたものだ,学生の頃は、よく勉強し、よく遊んだものだ,若い頃はよくやんちゃなことをしたものだ,受験生の頃は、毎日図書館に通って勉強したものだ,"When I was a kid, I used to play soccer with my friends.","When I was a student, I studied hard and played hard.",I used to do some naughty things when I was young.,"When I was taking exams, I used to go to the library every day to study."
