K1,T1,K2,T2,K3,T3,K4,T4,K5,T5,K6,T6
終日,all day,導火線,fuse,参加国,participating countries,接する,to touch,造花,artificial flower,日付,"date, dating"
訪日,visiting japan,三月,march,並行,going abreast,設ける,to set up,葉,leaf,負け犬,underdog
日夜,day and night,火災警報,fire alarm,並木,roadside tree,核施設,nuclear facility,重役,(company) director,鳥かご,birdcage
翌日,next day,新月,new moon,巨利,huge profit,節句,seasonal festival,端役,minor role,小魚,small fish
日光,sunlight,生年月日,date of birth,並ぶ,to stand in a line,設計,plan,石碑,stone monument,付き添い,attendance (on)
日常生活,daily life,耐火,fire resistance,力説,emphasizing,口説く,to persuade,子役,child actor,鳥,bird
日本一,japan's best,放火,arson,参考,Reference,使節団,delegation,買い言葉,tit for tat,気をつける,to be careful
何日,what day,発火,ignition,説得,persuasion,関節,joints,地下鉄,subway,押し付ける,to press against
三日月,crescent moon,戦火,war fire,月並み,every month,お節,new years food,隕石,meteorite,熱帯魚,tropical fish
前日,previous day,火災,fire,巨体,huge body,接収,seizure,石造り,stone-built,寝付く,to go to bed
祭日,holidays,月収,monthly income,並べる,to line up,調節,regulation,役人,government official,牛乳,(cow's) milk
日本式,japanese style,下火,lower fire,世間並み,typical,研究費,research funds,書き言葉,written language,鵞鳥,goose
日用品,daily goods,月曜,monday,並大抵,ordinary,直接税,direct tax,言葉遣い,speech,送付,sending
日々,daily,月額,monthly,解説,explanation,建設,construction,花,flower,海鳥,sea bird
日記,diary,火花,sparks,横串,crossing boundaries,演説者,speaker,銀行,bank,魚屋,fish market
期日,due date,火星,mars,両者,both persons,接合,union,銅板,copperplate,近付く,to approach
六日,"6 days, 6th day",火遊び,playing with fire,立ち並ぶ,to stand in a row,時節,season,銀行員,bank employee,人魚,mermaid
白日,white day,防火,fire prevention,牛串,skewered beef,接吻,kiss,世界銀行,world bank,味付け,seasoning
本日,today,海月,sea month,参照,reference,設定可能,configurable,葉っぱ,leaf,付着,sticking to
曜日,day of the week,協和,consensus,説教,sermon,直接投資,direct investment,役員,"director, executive",水鳥,water bird
同日,same day,望月,full moon,両立,compatibility,小節,"bar, measure",石,stone,魚,fish
日常,everyday,月経,menstruation,両国,Both countries,研修生,trainee,青銅,bronze,鮮魚,fresh fish
向日葵,sunflower,砲火,gunfire,両側,Both sides,接着剤,adhesive,役に立つ,to be helpful,寄付,contribution
日没,sunset,火事,fire,一両日,a day or two,密接,"close, intimate",鉄鋼,iron and steel,魚肉,fish meat
日除け,sunshade,火照る,firelight,両眼,both eyes,公設市場,public market,役目,"duty, role",魚介類,seafood
日当たり,exposure to the sun,消火,fire extinguishing,人参,Participant,仮設,temporary,花瓶,flower vase,駆け付ける,to run to
