Grammar,Meaning,Structure
であることで,because someone is (noun),⚭ Noun + de aru koto de
次第,depending on,⚭ Noun + shidai (de/da)
と逆に,"against, contrast to, reverse, opposite",⚭ Noun + to gyaku ni
と逆の,"against, contrast to, reverse, opposite",⚭ Noun + to gyaku no + Noun
と比べて,"compared with/to, in comparison to",⚭ Noun + to kurabete
として,"as, in the capacity of",⚭ Noun + to shite
としては,for,⚭ Noun + to shite wa
と違って,"unlike, different from",⚭ Noun + to chigatte
と違い,"unlike, different from",⚭ Noun + to chigai
と違う,"unlike, different from",⚭ Noun + to chigau + Noun
と違った,"unlike, different from",⚭ Noun + to chigatta + Noun
と同時に,"at the (same) time, when, as , while, as well as",⚭ Noun + to douji ni
と共に,"as well as, with, along with, at the same time, when",⚭ Noun + to tomo ni
と並んで,"as well as, alongside",⚭ Noun + to narande 
と並び,"as well as, along with",⚭ Noun + to narabi
と並ぶ,"as well as, along with",⚭ Noun + to narabu + Noun
と並行して,"parallel to, in parallel with, along with",⚭ Noun + to heikoushite
なしで,without,⚭ Noun + nashide (wa)
なしに,without,⚭ Noun + nashini (wa)
に当たって,"when, at , in the occasion of, before, prior to",⚭ Noun + ni attate
に当たり,"when, at , in the occasion of, before, prior to",⚭ Noun + ni atari
に当たっての,"when, at , in the occasion of, before, prior to",⚭ Noun + ni attate no + Noun
に合わせて,"according to, to, in accordance with, in proportion to, in conjunction with",⚭ Noun + ni awasete
において,"at, on, in, during",⚭ Noun + ni oite
における,"at, on, in, during",⚭ Noun + ni okeru + Noun
においての,"at, on, in, during",⚭ Noun + ni oite no + Noun
に応じて,"in proportion to, in accordance with, in compliance with, according to, response to",⚭ Noun + ni oujite
に応じた,"in proportion to, in accordance with, in compliance with, according to, response to",⚭ Noun + ni oujita + Noun
に応じての,"in proportion to, in accordance with, in compliance with, according to, response to",⚭ Noun + ni oujite no + Noun
に関わらず,"regardless of, independently of, whether or not",⚭ Noun + ni kakawarazu
に関わる,"related to, concerning",⚭ Noun + ni kakawaru + Noun
に限らず,"not limited, not only",⚭ Noun + ni kagirazu
に限って,"the last, particular only",⚭ Noun + ni kagitte
にかけて,"to, over, when it comes to, in, at, in the matter of",⚭ Noun + ni kakete (wa)
に代わって,"for, in place of, instead of",⚭ Noun + ni kawatte
に代わり,"for, in place of, instead of",⚭ Noun + ni kawari
に代わる,"for, in place of, instead of",⚭ Noun + ni kawaru + Noun
に代わっての,"for, in place of, instead of",⚭ Noun + ni kawatte no + Noun
に関して,"concerning, with",⚭ Noun + ni kanshite (wa)
に関する,"concerning, with",⚭ Noun + ni kansuru + Noun
に関しての,"concerning, with",⚭ Noun + ni kanshite no + Noun
に関する限り,as far as ~is concerned,⚭ Noun + ni kansuru kagiri
に比べ,"compared with/to, in comparison to",⚭ Noun + ni kurabe
に比べて,"compared with/to, in comparison to",⚭ Noun + ni kurabete
に加え,in addition to,⚭ Noun + ni kuwae
に加えて,in addition to,⚭ Noun + ni kuwaete
に際し,"in case of, on, when, at, in",⚭ Noun + ni saishi
に際して,"in case of, on, when, at, in",⚭ Noun + ni saishite
に際しての,"in case of, on, when, at, in",⚭ Noun + ni saishite no + Noun
,"as, with, in accordance with, in proportion to, following",+ ni shitagatte
,"as, with, in accordance with, in proportion to, following",+ ni shitagai
,"for, considering that",+ ni shitewa
,"along, by, parallel to, in accordance with",+ ni sotte
,"along, by, parallel to, in accordance with",+ ni sotta Noun
,"along, by, parallel to, in accordance with",+ ni sotte no Noun
,"toward, to, for, against, in contrast with, with regard to",+ ni taishite(wa)
,"toward, to, for, against, in contrast with, with regard to",+ ni taisuru Noun
,"toward, to, for, against, in contrast with, with regard to",+ ni tashite no Noun
