W1,R1,M1,W2,R2,M2,W3,R3,M3,W4,R4,M4,W5,R5,M5
農場,のうじょう,farm,儀式,ぎしき,"ceremony, rite",程,ほど,"extent, degree, limit",腕,うで,arm,学校,がっこう,school
惑星,わくせい,planet,南極,なんきょく,south pole,正直,しょうじき,"honest, frank",人形,にんぎょう,"doll, puppet, figure",川,かわ,river
矢,や,arrow,職人,しょくにん,"craftsman, artisan",一致,いっち,"agreement, accord, union",文化,ぶんか,"culture, civilization",手,て,"hand, arm​"
地獄,じごく,hell,北極,ほっきょく,north pole,博物館,はくぶつかん,museum,海岸,かいがん,"coast, beach",戸,と,door
津波,つなみ,tsunami,新幹線,しんかんせん,shinkansen,皿,さら,"plate, dish",産業,さんぎょう,industry,仕事,しごと,"work, job"
尾,お,tail,昼寝,ひるね,afternoon nap,舞台,ぶたい,"stage, setting, scene",音,おと,sound,眼鏡,めがね,eyeglasses
皇居,こうきょ,Tokyo Imperial Palace​,大通り,おおどおり,main street,寄付,きふ,"contribution, donation",赤ちゃん,あかちゃん,"baby, infant",煙草,たばこ,tobacco
仏像,ぶつぞう,Buddhist statue,木材,もくざい,"lumber, timber",猿,さる,monkey,髭,ひげ,"moustache, beard",塩,しお,salt
流通,りゅうつう,"circulation, distribution",運河,うんが,"canal, waterway",平等,びょうどう,equality,周り,まわり,"circumference, surroundings",黄色,きいろ,"yellow, amber"
見合い,みあい,marriage meeting,遊園地,ゆうえんち,amusement park,金属,きんぞく,metal,船,ふね,"ship, boat",灰皿,はいざら,ashtray
水源,すいげん,"source of river, fountainhead",蛇口,じゃぐち,"faucet, tap",左右,さゆう,left and right,動物園,どうぶつえん,zoo,可愛い,かわいい,cute
海運,かいうん,maritime,天皇,てんのう,Emperor of Japan,商人,しょうにん,"merchant, trader",美術館,びじゅつかん,art museum,上げる,あげる,"to raise, elevate"
黄金,おうごん,gold,溶岩,ようがん,lava,国境,こっきょう,national border,飛行場,ひこうじょう,"airfield, airport",箸,はし,chopsticks
嬢,じょう,unmarried woman,武士,ぶし,"warrior, samurai",集団,しゅうだん,"group, mass",水道,すいどう,"water supply, water service",茶碗,ちゃわん,"rice bowl, tea cup"
振り,ふり,"swing, shake, wave",苗字,みょうじ,surname,根,ね,root,葡萄,ぶどう,grape,石鹸,せっけん,soap
死,し,"death, decease",資料,しりょう,"materials, data, document",鎖,くさり,chain,事故,じこ,accident,夜,よる,"evening, night"
説得,せっとく,persuasion,面接,めんせつ,job interview,時,とき,"time, hour, moment",息子,むすこ,son,散歩,さんぽ,"walk, stroll"
助言,じょげん,"advice, counsel",唇,くちびる,lips,元,もと,"origin, source​",生活,せいかつ,"life, living​",椅子,いす,"chair, stool"
