Expression,Expn,Trans,Convo1,T1,Convo2,T2,Convo3,T3,Convo4,T4,Convo5,T5,Convo6,T6,Convo7,T7,Convo8,T8,Convo9,T9
あいさつ,aisatsu,Greetings,おはようございます。,Good morning.,こんにちは。,Hello.,こんばんは。,Good evening.,おやすみなさい。,Good night.,元気ですか。ええ、元気ですよ。,"How are you? Yes, I'm fine.",いただきます。,Bon appétit.,ごちそうさまでした。,Thanks for the food.,ありがとうございます。,Thank you very much.,さようなら。,Good-bye.
生活,seikatsu,Daily life,お水をお願いします。*何かを頼む),"Can I have some water, please? *ask for something",これをお願いします。*注文する,"I'd like to order this, please. *place an order",お願いします! *店員を呼ぶ,Please! *calls the waiter,すみません。*遅れたとき,I'm sorry. *when late,すみません! *レストランで店員を呼ぶ,Excuse me! *calls the waiter at the restaurant,すみません。*人に声をかける,Excuse me. *calls out to people,すみません。*電車などで人にどいてもらうとき,"Excuse me. *when you ask someone to move aside on the train, etc.",いつも すみません。*感謝の気持ちを表す,I'm always sorry. *expressing gratitude,どうぞ。*何かを差し出す,Here you go. *holds out something
緊急,kinkyuu,Emergency,痛い。,Ouch.,けがをしました。,I have an injury.,誰か来てください!,Someone please come!,助けてください!,Please help me!,救急車を呼んでください!,Call an ambulance!,警察を呼んでください!,Please call the police!,危ない!,Watch out!,やめてください。,Please stop.,もう一度言ってください。,Please say it again.
あいさつをする,aisatsu o suru,Greetings,おはようございます。,Good morning.,お久しぶりです。ご無沙汰しております。,It has been a while. It has been a while.,お変わりありませんか。はい、おかげさまで,"Is there anything wrong? Yes, thanks to you.",最近、調子はどうですか。まあまあです。,How are you doing lately? It's okay.,お疲れさまです。お疲れ。,You're tired. Tired.,お先に失礼します。*先に帰るときに言う,Excuse me after you. *say when you leave first,失礼します。*部屋に入るとき,Excuse me. *when entering a room,では、失礼します。*その場を去るときに言う,"Now, please excuse me. *say it when you leave the place",じゃ、またね。,See you later.
自己紹介をする ,jikoshokai-suru,Self-introduction,はじめまして。スミスと申します。,Nice to meet you. My name is Smith.,オーストラリア出身です。,I am from Australia.,今年、20歳になります。,"This year, I will turn 20 years old.",大学では心理学を専攻しています。,I am majoring in psychology at university.,趣味はサッカー観戦と旅行です。,My hobbies are watching soccer and traveling.,世界一周旅行をするのが夢です。,It is my dream to travel around the world.,販売の仕事をしています。,I work in sales.,これからお世話になりますが、よろしくお願いします。,I will be indebted to you from now on.,一緒に仕事をするのを楽しみにしています,I look forward to working with you.
お礼を言う・謝る,orei о iu / ayamaru,Thanking and apologizing,ありがとうございます。,Thank you very much.,ありがとう!,Thank you!,いろいろとお世話になり、ありがとうございました。,Thank you for everything you have done for me.,遅くなってすみませんでした。,Sorry for the delay.,申し訳ありませんでした。,I am sorry.,ご迷惑をおかけして申し訳ありません。,I am sorry for causing you trouble.,先日は失礼いたしました。,I apologize for the other day.,ごめんなさい。,I'm sorry.,ごめん、 許して!,"Sorry, forgive me!"
依頼する,irai-suru,Asking,ちよっとお願いしたいことがあるんですが。,I have a small favor to ask you.,ちよっと手伝っていただけませんか。,Can you help me a little?,これを一緒に運んでほしいんですが。,I'd like you to carry this with you.,それのやり方を教えてくれませんか。,Can you teach me how to do that?,もう少し待っていただけませんか。,Could you please wait a little longer?,明日の朝、 9時に駅に来てもらえる?,Can you meet me at the station tomorrow morning at 9:00 a.m.?,石川さんに連絡しといてくれる?,Could you call Mr. Ishikawa for me?,日本文化論のノート、貸してくれない?,Can I borrow your notes on Japanese culture?,,
誘う,sasou,Inviting,よかったら、今度、食事に行きませんか。,Would you like to have dinner with me sometime?,今度行ってみませんか。,Would you like to visit us sometime?,今から食事に行くけど、一緒にどうですか。,"I'm going out to dinner now, would you like to join me?",田中さんもご一緒にいかがですか。,"Would you like to join us, Mr. Tanaka?",今度、みんなでカラオケに行きましょう。,Let's go karaoke together sometime.,来週のパーティーにはぜひいらしてください。,Please come to the party next week.,もう一杯いかがですか。,Would you like another drink?,今、時間ある?,Do you have time now?,来週、空いてる日ある?,Do you have any free time next week?
誘いを受ける・断る,sasoi o ukeru / kotowaru,Accepting and declining invitations,いいですね。,That sounds great.,はい、喜んで。,"Yes, I would be happy to.",ぜひ、ご一緒させてください。,Please let me join you.,ご招待いただき、ありがとうございます。,Thank you for the invitation.,すみませんが、その日はちよっと...。,"I'm sorry, but that day is a little late...",今日は予定がありますので...。,I have plans today....,行けたら行きます。,I'll go if I can.,すみません、また誘ってください。,"I'm sorry, please ask me again.",,
質問する,shitsumon-suru,Asking a question,一つ聞いてもいいですか。,May I ask you one question?,ちよっと聞いてもいい?,Can I ask you something?,なぜそう思ったのですか。どうしてそう思ったの?,What makes you think so? What made you think that?,レポートのテーマはなんですか。,What is the theme of your report?,レポートの締め切りはいつですか。,When is the deadline for the report?,受付はどこですか。,Where is the reception?,明日の試合って、何時からだっけ?,What time is the game tomorrow?,映画はどうでしたか。,How was the movie?,犬と猫、どっちが好き?,"Which do you prefer, dogs or cats?"
提案する,teian-suru,Suggesting,早めにチェックインして、街を散歩しませんか,Why don't we check in early and go for a walk around town?,まずお昼を食べてからにしませんか。,Why don't we have lunch first?,天ぷらはどうですか。,How about tempura?,天ぷらとかどうですか。,How about tempura?,天ぷらなら、富士屋がおすすめです。,I recommend Fujiya for tempura.,少し早めに行くのがいいと思いますよ。,I think it's a good idea to get there a little early.,いいですね。やりましょう。,That sounds good. Let's do it.,みんなでプレゼントを買いましょう。,Let's buy a present together.,,
申し出る,moushideru,Offering,少し暑いですね。窓を開けましょうか,It's a little hot. Shall I open a window?,何か冷たい飲み物を持ってきましょうか,Shall I bring you something cold to drink?,私が先生にメールしておきましょうか。,Shall I e-mail the doctor?,よかったら、お手伝いしますよ。,I can help you if you like.,ほかにもお手伝いできることがあったら、 言ってください。,"If there is anything else I can do for you, please let me know.",家まで迎えに行こうか。,Shall I pick you up at home?,駅まで送るよ。,I'll walk you to the station.,チケット、とっておくね。,I'll save the tickets.,,
心配する,shinpai-suru,Expressing concern,どうしたんですか。,What's wrong?,何かあったんですか。,What's wrong?,大丈夫ですか。,Are you okay?,顔色が良くないですね。,You don't look well.,どこか具合が悪いんですか。,What is wrong with you?,無理しちゃダメですよ。,Don't push yourself too hard.,今日はもう帰ったほうがいいんじゃないですか。,I think you should go home today.,遅いから、気をつけてくださいね。,"It's late, so please be careful.",お大事にね。,Take care of yourself.
励ます,hagemasu,Encouraging,がんばってください。,Good luck.,きっとうまくいきますよ。,It's going to be fine.,自信を持ってください。,Be confident.,大丈夫ですよ。,I'm fine.,元気出してください。,Cheer up.,またチャンスがありますよ。,You will have another chance.,まだまだこれからですよ。,It's not over yet.,あきらめないで!,Don't give up!,,
感想を言う,kansou o iu,Impressions,すごくよかったです。,It was very good.,とても面白かったです。,It was very interesting.,なかなかよかったですよ。,It was pretty good.,まあまあでした。,It was so-so.,ちょっと物足りなかったです。,It was not enough for me.,あまりよくなかったです。,It wasn't so good.,少し期待と違いました。,It was a little different from what I expected.,期待はずれでした。,It was disappointing.,最高でした。最低でした。,That was great. It was the worst.
不満・苦情を言う,fuman / kujou o iu,Complaining,これはひどいです。,This is terrible.,嫌になります。,I hate it.,うんざりです。,I'm sick of it.,困りますね。,I'm in trouble.,困ったなあ。,I'm in trouble.,どうなってるんですか。,What's going on?,納得できません。,I'm not convinced.,ちゃんとやってください。,Please do it right.,何とかしてください。,Please do something.
予約する,yoyaku-suru,Making a reservation,航空券の予約をしたいんですが。,I'd like to book a plane ticket.,12月1日の羽田発、シンガポール行きでお願いします。,Please take the flight from Haneda to Singapore on December 1.,何時何分の便がありますか。,What time is your flight?,その次は何時何分ですか。,What time is the next one?,予約をお願いしたいのですが...。,I'd like to make an appointment.,予算は、飲み物を入れて一人3500円です。,"My budget is 3,500 yen per person including drinks.",キャンセル料はいつからかかりますか。,When will I have to pay the cancellation fee?,予約を変更したいんですが。,I would like to change my reservation.,予約をキャンセルしたいんですが。,I would like to cancel my reservation.
希望を言う,kibou o iu,Requesting,もっと安いのはないですか。,Is there anything cheaper?,もう少しわかりやすく説明してもらえませんか。 ,Could you please explain it more clearly? ,パスタが食べたいです。,I want pasta.,なるべく近いお店がいいです。,I'd like to go to a restaurant as close as possible.,できれば一緒に行ってください。,Please go with me if you can.,一度行ってみたいです。,I would like to go there once.,会えたらうれしいです。,I would be happy to see you.,明日までに返事がほしいです。,I want a reply by tomorrow.,あまり寒いところには行きたくないです。,I don't want to go somewhere too cold.
~は~です,~ha ~desu,N1 wa N2 desu. N1 wa A desu.,私はミラーです。,I am Miller.,こちらはスミスさんです。,This is Mr. Smith.,スミスさんは私の友達です。,Mr. Smith is my friend.,私は教師です。,I am a teacher.,お母さんはお元気ですか。,How is your mother?,はい、あいかわらず元気です。,"Yes, I am fine as usual.",あれは何というビルですか。,What kind of building is that?,ああ、あれは六本木ヒルズです。,"Oh, that's Roppongi Hills.",きれいなビルですね。,It's a beautiful building.
好き・嫌い・得意・下手,suki / kirai / tokui / heta ,"Like, do not like, be good at, be not good at",私は納豆が好き・嫌いです。,I like or dislike natto.,私は数学が大好き・大嫌いです。,I love/hate mathematics.,スポーツは得意ですが、勉強は苦手です。,"I am good at sports, but I am not good at studying.",人前で話すのは苦手です。,I am not good at public speaking.,料理は得意です。,She is good at cooking.,食べるのは早いですよ。,I eat fast.,明るい色がいいです。,I like the bright colors.,英語が(お)上手ですね。,Your English is (oh) very good.,,
形容詞,keiyoushi,Adjectives,今日は暑いですね。,It is hot today.,今日はすごく寒いですね。,It is very cold today.,昨日は、月がとてもきれいでした。,The moon was very beautiful yesterday.,私の国より東京のほうが人口が多いです。,Tokyo has a larger population than my country.,宮崎アニメの中で、どれが一番おもしろいですか。,Which of Miyazaki's animations is the most interesting?,私が見た中では、「トトロ」が一番おもしろかったです。,"Of all the movies I saw, ""Totoro"" was the most interesting.",インドのカレーとスリランカのカレーと、どちらのほうがからいですか。,"Which is more delicious, Indian curry or Sri Lankan curry?",インドのカレーのほうがからいです。,Indian curry is more delicious.,,
ある・いる,aru / iru,Expressing existence,京都には、和風の旅館がたさんあります。,There are many Japanese-style inns in Kyoto.,たたみの部屋がありますか。,Do you have a tatami room?,この近くに、郵便局はありますか。,Is there a post office near here?,はい、あのコンビニのとなりにあります。,"Yes, it is next to that convenience store.",来週、京都でお祭りがあります。,There is a festival in Kyoto next week.,あのう、ちょっと質問があるんですが。,"Um, I have a quick question.",兄弟はいますか。,Do you have a brother or sister?,今、家にはだれもいません。,There is no one at home now.,,
~がほしい・~たい・たがる,~hoshi / ~tai / ~tagaru,Want to ~ / Would like to ~,水が飲みたいです。,I want to drink water.,早くお昼を食べたいです。,I can't wait to have lunch.,何が食べたいですか。,What would you like to eat?,3年後に自分の会社を作りたいです。,I want to start my own company in 3 years.,将来は通訳になりたいと思っています。,I would like to become an interpreter in the future.,富士山に登ってみたいです。,I would like to climb Mt.,前からこの映画を見たいと思っていました。,I have wanted to see this movie for a long time.,冬のコートがほしいです。,I want a winter coat.,妹は早く結婚したがっています。,My sister wants to get married soon.
連体修飾節,rentai shushoku setsu,Qualifying nouns,これは去年ハワイで買ったシャツです。,This is a shirt I bought in Hawaii last year.,昨日買ったばかりのかさを失くしてしまいました。,I lost the umbrella I just bought yesterday.,昨日泊まったホテルはまあまあよかったです。,The hotel where we stayed yesterday was so-so.,今日行った店よりこの前行った店のほうがずっとよかったです。,The restaurant I went to the other day was much better than the one I went to today.,これは約800年前に建てられたお寺です。,This is a temple built about 800 years ago.,日本の貿易会社に勤めている友達を紹介します。,I would like to introduce a friend of mine who works for a Japanese trading company.,あのめがねをかけている男性がティムです,The man with the glasses is Tim.,さっき話していた人は誰ですか。,Who was that person you were talking to earlier?,,
てください・ないでください,~te kudasai / ~naide kudasai,Please do / Please don’t do,先に行ってください。,Please go ahead.,ここにメールアドレスを養いていただけませんか。,Could you please feed me your e-mail address here?,次の交差点を右に曲がってください。,Please turn right at the next intersection.,ここでちよつと待っていてください。,Please wait here for a while.,危ないから気をつけてください。,"Be careful, it is dangerous.",これは捨てないでください。,Please don't throw this away.,まだ開けないでください。,Do not open it yet.,無理をしないでください。,Please take it easy.,,
~ませんか・~ましょうか,~masen ka / ~masen? / ~mashou ka / mashou yo,Suggesting and inviting,今度、一緒に秋葉原に行きませんか。,I'd like to go to Akihabara with you next time.,荷物、重そうですね。持ちましょうか。,Your luggage looks heavy. Shall I carry it?,そろそろ帰りましょうか。ええ、そうしましょう。,"Shall we go home soon? Yes, we should.",そろそろ帰りませんか。うーん、そうですねえ...。,"Why don't we go home soon? Well, yes...",続きは明日にしましょうか。,Shall we continue tomorrow?,これ食べません? おいしいですよ。,Would you like to try some? It's delicious.,込んで(い)るから別の店にしませんか。,"It's too crowded, so why don't we go to another store?",お愿に慝童して閭いてみましょうよ。,Let's go to Yuan Yun Dong and ask her.,,
着脱動詞 ,chakudatsu doushi,"The verb ""to wear""",寒いからセーターを着ます。・暑いからセーターを脱ぎ ました。,"It's cold, so I'll put on a sweater. It is hot, so I took off my sweater.",寒い日は、ストッキングをはいた上にスカートをはきます。,"On cold days, I wear a skirt over stockings.",今日は日差しが強いから、帽子をかぶったほうかいいですよ。,"The sun is shining today, so you might want to wear a hat.",中に入る時、靴を脱ぎますか。いえ、はいたままで結構です,"Do you want to take off your shoes when you go in? No, you can leave them on.",寒いから手袋やマフラーをしたほうがいいですよ。,You should wear gloves and a scarf because it is cold.,いつも眼鏡をかけているんですか。いえ、家でははずします。,"Do you always wear glasses? No, I take them off at home.",今はコンタクト(レンズ)をつけています。,I'm wearing contact lenses now.,さくらさんはイヤリングをつけますか。ええ、ときどき。,"Do you wear earrings, Sakura-san? Yes, sometimes.",,
継続・状態,~te iru,Continual / Stative,まだ雨が降っています。,It is still raining.,今、さくらデパートでセールをしています。,There is a sale at Sakura Department Store right now.,お風呂がわいているから、入ったら?,The bath is open. Why don't you go in?,友達に聞いて、知っています。,"I know, I asked a friend.",そこで何をしているんですか・そこで何をしてるの?,What are you doing in there/ What are you doing in there?,お仕事は何をしているんですか。・お仕事はなんですか。,What do you do for a living? What do you do?,英語の教師をしています。・英語の教師です。,I am an English teacher. I am an English teacher.,あ、電車が来て(い)る。急いで。,"Oh, there is a train coming. Hurry up.",,
Vてから・Vた後・Vたら,~te kara / ~ta ato/ ~tara,After,ATMに寄ってから行きます。,I'll stop by an ATM before I go.,シャワーを浴びてから出かけます。,I'm going out after taking a shower.,受付をしてからお入りください。,Please come in after you check in.,よく考えてから申し込んだほうがいいですよ。,You should think twice before you apply.,これは食事のあとに飲んでください。,Drink this after dinner.,電話を切ったあと、思い出しました。,"After I hung up the phone, I remembered.",品物を受け取ったあと、 支払いをするそうです。,He will pay you after he receives the goods.,寒に曹いたらメ-ルして。,"If you are cold, please email me.",,
Vてしまう,~te shimau / ~chau,Expressing emotion,あれっ、もう全部飲んじゃったの?,"Oh, did you drink all of it already?",残すともったいないから、全部食べてしまいましよう。,"It would be a waste if I leave it, so let's eat it all.",じゃ、予約しちゃっていいですか。,"Then, can I make a reservation?",そんな仕事、やめてしまえば?,Why don't you quit that job?,すみません、うっかり忘れてしまったんです。,"Sorry, I accidentally forgot.",急がないと、締切に遅れてしまいます。,"If I don't hurry, I will miss the deadline.",えっ!?　あのこと、彼女に言っちゃったの!?,What?　Did you tell her that?,それを聞いて、彼女、怒っちゃったんです。,"When she heard that, she got angry.",,
Vたまま・~っぱなし,"~ta mama, ~ppanashi",Leaving something,スリッパをはいたままタタミの部屋に入ってはいけません。,Do not go into the tatami room with your slippers on.,使ったままにしないで、片づけてください。,"Don't leave it used, put it away.",よくわからないまま、参加しました。,I joined without understanding what was going on.,彼は何も言わないまま、帰ってしまいました。,He left without saying anything.,タイミングが合わず、結局、父とは会えないままでした。,"The timing didn't work out, and in the end I never got to meet my father.",そこは、そのままにしておいてください。,Please leave it there.,水が出しっぱなしですよ。,You left the water out.,あれ?窓が開けっぱなしになっている。,What's that? The window is left open.,,
Vながら・Vし,~nagara / ~shi(~shi),Describe more than one action or reason,いつも音楽を聴きながら勉強します。,I always listen to music while I study.,寝ながら本を読むと、すぐ眠くなります。,"Read a book while you sleep, you will be sleepy soon.",右に回しながら、引いてください。,Please pull it while turning it to the right.,スマホを見ながら歩くと危ないですよ。,It's dangerous to walk around with your phone on.,会社を経営しながら、絵もかいているんです。,I run a company and paint as well.,駅から近いし、そんなに高くないし、このホテルでいいと思います。,This hotel is close to the station and not so expensive.,忙しいし、お金もないから、今回は行きません。,"I'm busy and I don't have any money, so I'm not going this time.",毎朝走ってるし、土曜日もジムに行って(い)るから、運動不足ではないはずです。,"I run every morning and go to the gym on Saturdays, so I must not be lacking in exercise.",,
~てもいい・~ないでください・~てはいけません,~te mo ii/ ~naide kudasai / ~te wa ikemasen,Grant and refuse permission,中に入ってもいいですか。いえ、 ここに入ってはいけません。,"May I come in? No, you can't come in here.",ここでお昼を食べてもいいですか。いいですよ。,"Can I have lunch here? Yes, you may.",遅れて行ってもいいですか。家、遅れたら、入れませんよ。,"May I come late? If you're late, you won't be allowed in.",辞書、借りてもいい?　ちょっと待って。今使ってるから。,Can I borrow your dictionary?　Wait a minute. I'm using it right now.,これはきれいだから、洗わなくてもいいです。,"This is clean, you don't have to wash it.",返事は今日でなくてもいいです。明日でいいですよ。,You don't have to reply today. Tomorrow is fine.,そんなに心配しないでください。,Don't worry so much.,邪魔になるから、ここに置かないでください。,"Please don't put it here, it's in the way.",,
Vたことがあります,~ta koto ga arimasu,Have been / Have done,京都は行ったことがありますが、奈良はまだありません。,"I have been to Kyoto, but not Nara yet.",富士山に登ったことがありますか。,Have you ever climbed Mt.,はい、一度あります。,"Yes, once.",いえ、まだ一度もありません。いつか登ってみたいと思います,"No, I haven't had one yet. I'd like to climb it someday.",着物を着たことがありますか。,Have you ever worn a kimono?,彼と話したことがありますか。,Have you talked to him?,残念ですが、彼とはまだ一度も話したことがないんです。,"I'm sorry, but I haven't talked to him yet.",そんな話、聞いたことがありません。,I have never heard of such a thing.,,
