W1,R1,T1,W2,R2,T2,W3,R3,T3,W4,R4,T4,W5,R5,T5
遭う,あう,to meet,弾く,はじく,to flip,被る,かぶる,to put on,挙げる,あげる,to raise,害する,がいする,to harm
追う,おう,to chase,稼ぐ,かせぐ,to earn income,瞑る,つぶる,to close the eyes,焦げる,こげる,to burn,関する,かんする,to concern
負う,おう,to bear,防ぐ,ふせぐ,to defend (against),破る,やぶる,to tear,下げる,さげる,to hang,恋する,こいする,to love
飼う,かう,to keep,急ぐ,いそぐ,to hurry,滑る,すべる,to slide,告げる,つげる,to inform,察する,さっする,to perceive
請う,こう,to request,注ぐ,そそぐ,to pour (into),絞る,しぼる,to press,遂げる,とげる,to accomplish,制する,せいする,to control
吸う,すう,to smoke,除く,のぞく,to remove,登る,のぼる,to climb,投げる,なげる,to throw or cast away,接する,せっする,to come in contact with
沿う,そう,to run along,覗く,のぞく,to peep in,昇る,のぼる,to arise,逃げる,にげる,to escape,即する,そくする,to be immediate
添う,そう,to meet expectations,叩く,たたく,to strike,上る,のぼる,to ascend,剥げる,はげる,to come off,属する,ぞくする,to belong to
問う,とう,to ask,砕く,くだく,to break,余る,あまる,to remain,曲げる,まげる,to bend,対する,たいする,to oppose
縫う,ぬう,to sew,跨ぐ,またぐ,to straddle,困る,こまる,to be worried,起こる,おこる,to occur,達する,たっする,to reach
這う,はう,to creep,突く,つつく,to thrust,迫る,せまる,to draw near,刺さる,ささる,to stick,脱する,だっする,to escape
舞う,まう,to dance,懐く,なつく,to become emotionally attached,黙る,だまる,to be silent,為さる,なさる,to do,適する,てきする,to fit
酔う,よう,to get drunk,続く,つづく,to be continued,鈍る,なまる,to become less capable,混ざる,まざる,to associate with,徹する,てっする,to penetrate
開く,あく,to open,担ぐ,かつぐ,to shoulder,煙る,けむる,to smoke (e.g. fire),交ざる,まざる,to be mixed,熱する,ねっする,to heat
空く,あく,to open,届く,とどく,to reach,眠る,ねむる,to sleep,閉じる,とじる,to close (e.g. book,罰する,ばっする,to punish
行く,いく,to go,解く,ほどく,to unfasten,湿る,しめる,to be wet,綴じる,とじる,to bind,反する,はんする,to against
浮く,うく,to float,繋ぐ,つなぐ,to tie,篭る,こもる,to seclude oneself,恥じる,はじる,to feel ashamed,面する,めんする,to face
