P1,T1,P2,T2,P3,T3
同じ感情,same emotion,まあまあの成績,so-so results,ゆっくり考える,think slowly
きれいに咲いている,blooming beautifully,了見が狭い,narrow-minded,つまらない試合,boring game
小さな交差点,small intersection,あらゆる職業,every profession,来店の方に限り,only for store visitors
短く切りました,cut shortly,初めに来た,first to arrive,あらかじめ通知する,notify in advance
きれいに装う,dress nicely,ひどい雪,heavy snow,遠い灯台,distant lighthouse
次に買う,next to buy,スムーズに進む,go smoothly,すっかり目が覚めた,be wide awake
なかなかやるなあ,pretty good,川に沿って行く,go along a river,さっき出かけた,just left
小さな声,little voice,社会保障,social security,学生に対して,to students
あらゆる種類,every type,実に頭がいい,really/very clever,最初に着いた,arrived first
役に立つでしょう,it'll help,深い眠り,deep sleep,だいぶ面白くなってきた,getting more interesting
詳しく説明する,explain in detail,優しい言葉,kind words,きっと勝つ,certainly will win
多少にかかわらず,regardless of how much,なかなか暑い,quite hot,かなり強かった,pretty strong
少ない予算,small budget,架空のもの,fictitious thing,変わったこと,changed thing
辛くて涙を流した,shed bitter tears,同じ髪型,same haircut,結構難しい,fairly difficult
もう少し,a little bit more,細い道,narrow path,見知らぬ人,unknown person
早く帰った,back quickly,弱い光,weak light,栄養のバランス,nutritional balance
山のふもと,the foot of a mountain,寂しく感じる,feel lonely,ある物,a thing
ピカピカ(と)光った,flashed sparkly,ひどい雨,heavy rain,深い痛手,serious wound
かなり寒い,considerably cold,ああいう男,a man like that,よき隣人,good neighbor
単なる知り合い,mere acquaintance,あらかじめ注意しておく,warn in advance,きれいな選挙,clean election
ほとんど残っていない,very little left,美しく着飾る,dress up beautifully,強い影響力,strong influence
激しくなる,become intense,沢山必要ですか,need a lot?,昨年に比べて,compared to last year
ゆっくり旅をする,make a leisurely trip,庭を広くする,enlarge the garden,正しく着る,wear correctly
ほとんど変わりない,little difference,すごく変,very odd/strange,発言に対して,in response to the statement
安全ベルト,safety belts,早速知らせてほしい,let me know immediately,そんな間違い,such a mistake
本件に関して,regarding this matter,すぐにやりなさい,do immediately,そんな大きな犬,such a big dog
そういう暴力,such violence,学部の選択,choice of faculty,あらかじめ計画を立てる,plan ahead
まっすぐな髪,straight hair,だいぶ時間がある,have a lot of time,授業に加えて,in addition to classes
極めて明快だ,extremely clear,長い時間,long time,甘い香りの花,sweet smelling flowers
雪になるでしょう,it'll snow,暗黒の大陸,continent of darkness,極めて深刻だ,extremely critical
たびたび訪れた,visited often,無事に逃げる,escape safely,大いに迷惑した,much annoyed
最も高い山,highest mountain,ふらふらと歩く,walk unsteadily,ほんの初心者,just a beginner
そういう習慣,such customs,すっかり忘れた,completely forgot,すっかり変わる,change completely
かわった話,different story,すでに出かけた,already left,甘い言葉,sweet words
恐らく中止になるね,probably canceled,ひどい暴風,severe storm,だいぶ暖かい,pretty warm
うっかり忘れる,slip my mind,いっさいしない,never/doesn't do it,きちんと動かない,can't move accurately
高い能力,high level of ability,安全なスピード,safe speed,初めて遊んだ,first time to play
古画が多い,many old paintings,冷たい心,a cold heart,要望に応えて,in response to requests
ゆっくりやる,take it easy,非常に危ない,very dangerous,良い印象,good impression
きわめて良好,extremely favorable,早速連絡します,will contact you immediately,ほんの一瞬の油断,just a moment of carelessness
甘い基準,lax standards,正しい行い,right conduct,ひどい風邪,severe cold
きれいに掃除した,cleaned neatly,ゆっくり話す,speak slowly,小さい池,small pond
まったくの幸運,sheer luck.,たくさん食べましょう,let's eat a lot,ちゃんと片付いている,properly tidy
最も長い川,longest river,さっきの話,said earlier,悪賢い政治家,devious politician
冷たく感じる,feels cold,姿勢がいい,good posture,まあまあ見られた,not so bad to watch
いろいろなこと,various things,評判が高い,high reputation,深い関係,close relationship
冷たい北風,cold north wind,早速読んだ,read immediately,弱い立場,weak position
観光地について,about tourist attractions,よき友,a good friend,あれだけ経験,so much experience
まったくの偶然,complete coincidence,ずいぶんおしゃれだね,very stylish,こういう機器,this kind of equipment
荒っぽいスポーツ,rough sports,落ちないでしょう,won't fall off,もう晴れたよ,cleared up already
そういう理由,such reason,難しい性格,difficult personality,都合にかかわりなく,regardless of the convenience
安全機構,safety mechanisms,上手く利用する,make good use of,一切存じません,know nothing
高い理想,high ideals,美しい思い出,beautiful memories,小さい活字,small print
はっきりした発音,clear pronunciation,強い動物,strong animal,軽い冗談,lighthearted joke
仕事熱心,work enthusiastic,ああいう行動,actions like that,青白い顔,pale face
近い博物館,nearest museum,はっきり見える,clearly visible,大変な事態,serious situation
大した事,big deal,恐ろしい出来事,a terrible happening,あまり見えない,can't see much
いやいや勉強して,study reluctantly,まあまあの出来,so-so workmanship,簡潔に話す,speak briefly
正しく言えば,correctly speaking,余り期待できない,not much hope,今行くよ,going now
深く吸って,inhale deeply,なかなか戻ってこない,hard to come back,ちゃんと読める,can read properly
優しく見守る,gently watch over,ちょうど一時間,exactly one hour,とても美しい,strikingly beautiful
安全保障,security,すっかり曇った,clouded completely,こういう特典,these benefits
すらすら読めた,easily read,めっちゃハマっている,i’m really into it,高い温度,high temperature
若い技師,young engineer,珍しい現象,unusual phenomenon,なかなかの出来,excellent workmanship
そういう場合,in such a case,きちんとやる,get things right,ひきょうなやり方,dirty trick
大変な美人,very beautiful woman,安全な場所,safe locations,なかなか美しい娘,quite a pretty girl
あらゆる困難,every difficulty,悪い成績,poor grades,家でのんびり,relax at home
コツコツ勉強した,studied hard,一番感じる,feel the most,面白くない試合,uninteresting game
やがて廃れる,be obsolete shortly,とても困っている,very troubled,寒くて震える,shivering cold
成績に従って,according to results,安く買える,can buy cheaply,輝かしい成績,brilliant results
あらゆる素材,all materials,特別に準備しておく,special preparations,広い居間,spacious living room
恐ろしい事件,a horrible incident,きちんと届く,receive proper delivery,一晩にして,in a night
弱い光を落としていた,was casting a weak light,見知らぬ男,unknown man,感動を与える,give an impression
しばしば変わる,change frequently,暗黒の王子,prince of darkness,大した問題,big problem
ほとんど間違いない,most certainly,とても暑い,very hot,正しい判断,right decision
だいぶ遠い,much further,よき妻,a good wife,よぶよぶになる,become shaky
この家に限らず,not only in this house,とても回復しそうにない,very unlikely to recover,まれにしか怒らない,rarely occurs
冷たい反応,cold reaction,ある意味正しい,right in a way,きれいな部屋,clean room
曜日にかかわらず,any day of the week,先生に代わって,instead of teacher,美しさに魅せられて,enchanted by beauty
激しい痛み,severe pain,なかなか開かない,difficult to open,結構面白い,quite interesting
言うべきだ,you should say,男性に限らず,not just for men,いろんな知識,various knowledge
大いに流行した,was hugely popular,きれいな飾りつけ,beautiful starry sky,ぜんぜんできない,can't do at all
いろいろな点,various points,はっきりさせる,make clear,恐ろしい病,a horrible disease
つまらぬ芝居,boring play,安価な簡易住宅,inexpensive simple housing,あんな失礼なこと,such rudeness
ビショビショになっちゃった,become soaking wet,ありうべき証拠,possible proof,まっすぐに立つ,stand upright
結構暮らして,living quite well,きれいな字,neat handwriting,ほんの少し,just a little
ああいう風,a way like that,はっきりきれいに見える,clear and cleanly visible,きれいな着物,beautiful kimono
門出に際して,on the occasion of setting out,安心したこと,reassured thing,少し休みなさい,get some rest
少し乗ろう,let’s ride a bit,冗談でしょ？,are you kidding me?,まったく申し分ない,nothing to criticize
美しさに息,breath of beauty,こつこつ勉強する,study steadily,力強い演説,powerful speech
実に珍しい事件,a very rare case,ほんの子供,just a child,お客様に対して,for customers
わずかにカーブした,curve slightly,辛い経験,painful experience,単なる冗談,just a joke
一瞬にして,in an instant,さっさとしなさい,hurry up,難しい問題,difficult problem
無事に終わった,went off without a hitch,正しい見方,right way to look at it,青いバナナ,green banana
あらかじめ用意する,prepare in advance,冷たい飲み物,cold drink,質素な生活,a frugal lifestyle
ギリギリ間に合う,just in time,青い線,blue line,とてもいい景色,very nice view
遠い郊外,distant suburb,汚れに強い合成皮革,stain-resistant artificial leather,なかなか似合う,suit very well
先生に限って,only for teachers,よくないこと,not a good thing,ひどい仕打ち,cruel treatment
全て済んだ,it's all done,高い希望,high hopes,きれいでしょ？,"beautiful, isn't it?"
細い麺,thin noodles,病気らしい,sickly,無事に帰る,return home safely
