Words,Sentences,Translation,Meaning,Stucture,Situation,Remarks
とき,母は本を読むとき、めがねをかけます。,My mother wears glasses when she reads.,when,⚭ Vplain.I.Na+na.N+no + toki,"tense, situation",
ながら,わたしはいつも料理の本を見ながら料理を作ります。,I always cook from a cookbook.,while,⚭ Vnoun-stem + nagara,"tense, situation",
あいだ,わたしは夏の間、ずっと北海道にいました。,I have been in Hokkaido for the whole summer.,"throughout (the time), while, during, between",⚭ Vru.Vteiru.I.Na+na.N+no + aida,"tense, situation",
あいだに,夏休みの間に引っ越ししたいです。,I want to move during the summer vacation.,"while, during, in between",⚭ Vru.Vteiru.I.Na+na.N+no + aida ni,"tense, situation",
ところだ,晩ご飯を食べるところです。,I'm about to have dinner.,"about to, just about to",⚭ Vru + tokoro (da/desu/datta/deshita),"tense, situation","indicates state, moment"
ところだ,晩ご飯を食べているところです。,I'm having dinner.,in the midst of,⚭ Vteiru + tokoro (da/desu/datta/deshita),"tense, situation","indicates state, moment"
ところだ,晩ご飯を食べたところです。,I just had dinner.,have just done ,⚭ Vta + tokoro (da/desu/datta/deshita),"tense, situation","indicates state, moment"
ところだ,晩ご飯を食べていたところです。,I have been eating dinner.,have been doing,⚭ Vteita + tokoro (da/desu/datta/deshita),"tense, situation","indicates state, moment"
ところ,お忙しいところをどうもありがとうございました。,"At the state when you were busy, thanks for sparing a tine with me.",the state when,⚭ I.Na+na.N+no+ tokoro + particle,"tense, situation","indicates state, moment"
おり（に）,このことは今度お目にかかった折に詳しくお話しいたします。,I will tell you more about this the next time I see you.,whenever there is an occasion,,"tense, situation",
さい（に）,非常の際はエレベーターを使わずに、階段をご利用ください。,"In case of emergency, please use the stairs instead of the elevator.","when, on the occasion of",,"tense, situation",
にさいして,来日に際していろいろな方のお世話になった。,I am grateful for the help of many people when I came to Japan.,"when, on the occasion, at the time of",,"tense, situation",
において,式典はＡ会館において行われる予定。,The ceremony will be held at Hall A.,"in, at",,"tense, situation",
にあたって,新学期にあたって、皆さんに言っておきたいことがあります。,There is something I would like to say to all of you for the new school year.,"on the occasion of, at the time of",,"tense, situation",
うちに,今は上手に話せなくても練習を重ねるうちに上手になります。,"You may not be able to speak well now, but you will get better as you practice.","before, while, during",,"tense, situation",
さいちゅう（に）,新入社員の小林さんは、会議の最中にいねむりを始めてしまった。,"Mr. Kobayashi, a new employee, started to doze off during a meeting.","in the middle of, in the midst of",,"tense, situation",
つつ,電車に揺られつつ、２時間ほどいい気持ちで眠 った。,"He slept for about two hours on the train, with a good feeling.",while,,"tense, situation",
にあって,今、Ａ国は経済成長期にあって、人々の表情も生き生きとしている。,"Country A is now in a period of economic growth, and people's faces are full of life.","in, on, at, during, in the condition of",,"tense, situation",
まえに,食事の前に手を洗いましょう。,Wash your hands before you eat.,before,,time order,
あとで,食事の後で、少し散歩しませんか。,"After dinner, why don't we take a short walk?",after,,time order,
て,電気を消して、部屋を出ます。,I'll turn off the lights and leave the room.,then,,time order,
てから,この仕事をぜんぶやってからビールを飲みます。,I'm going to do all this work and then drink beer.,after,,time order,
てから,わたしが日本に来てから、もう４年たちました。,It's been four years since I came to Japan.,since,,time order,
たばかりだ,仙台行きの列車は出たばかりです。,The train to Sendai has just left.,"just finished, just did",,time order,
たら,夏休みになったら、国へ帰ります。,I will go back to my country after the summer vacation.,after,,time order,
うちに,独身のうちに、いろいろなことをやってみたいです。,I want to do a lot of things while I am still single.,"while, during, before",,time order,
に先立って,出発に先立って、大きい荷物は全部送っておきました。,"Prior to my departure, I sent all my large luggage.","as a precursor to, before, prior to",,time order,
たとたん（に）,ずっと本を読んでいて急に立ち上がったとたん、めまいがしました。,"I had been reading a book for a long time, and as soon as I stood up suddenly, I felt dizzy.","just at the very moment, as soon as",,time order,
とともに,ベルが鳴るとともに、子どもたちはいっせいに運動場へ飛び出した。,"As the bell rang, the children ran out into the playground at once.","at the same time, together with",,time order,
（か）とおもうと,空でなにかピカッと光ったかと思うと、ドーンと大きな音がして地面が揺れた。,"I thought I saw something flashing in the sky, and then there was a loud bang and the ground shook.","no sooner than, as soon as, immediately after",,time order,
か～ないかのうちに,子どもは「おやすみなさい」と言ったか言わないかのうちに、もう眠ってしまった。,"The children were asleep before I could say ""good night"" to them.",just barely..when,,time order,
次第,スケジュールが決まり次第、すぐ知らせてください。,Please let me know as soon as you have a schedule.,"as soon as, immediately (upon), the moment that",⚭ Vnoun-stem + shidai,time order,
てからでないと,野菜を生で食べるなら、よく洗ってからでないと、農薬が心配だ。,"If you want to eat vegetables raw, you have to wash them well before you eat them, otherwise you will be worried about pesticides.","not until after, unless",,time order,
てはじめて,入院してはじめて健康のありがたさがわかりました。,It was only after I was hospitalized that I realized how much I appreciate my health.,"It is/was not until..that, only after",,time order,
上で,詳しいことはお目にかかった上で、説明いたします。,I will explain the details to you when I see you.,after having,,time order,
て以来,大学を卒業して以来、田中さんには１度も会っていません。,I haven't seen Mr. Tanaka once since I graduated from college.,"ever since, since",,time order,
てからは,先月、禁煙してからは、１度もたばこを吸っていません。,"Since I quit smoking last month, I haven't smoked a single cigarette.","ever since, since",,time order,
が早いか,小田先生はチャイムが鳴るが早いか、教室に入ってきます。,Mr. Oda comes into the classroom as soon as the chime rings.,"as soon as, no sooner..than",,time order,
や否や,よし子は部屋に入ってくるや否や、「変なにおいがする」と言って窓を開けた。,"As soon as she came into the room, Yoshiko opened the window, saying, ""It smells funny.","as soon as, no sooner..than, the minute that",,time order,
なり,子どもは母親の顔を見るなり、ワッと泣き出しました。,"As soon as the child saw her mother's face, she began to wail.",as soon as,,time order,
そばから,小さい子どもは、お母さんがせんたくするそばから、服を汚してしまいます。,A small child will stain his or her clothes as soon as the mother starts to fight.,"as soon as, right after",,time order,
てからというもの（は）,たばこを止めてからというもの、食欲が出て体の調子がとてもいい。,"After I stopped smoking, I had a good appetite and my health was very good.","from the time.., after, since",,time order,
て,朝はパンを食べて、コーヒーを飲みます。,I eat bread and drink coffee in the morning.,then,,"parallel, repeatition",
て,新幹線は速くて、安全です。,The bullet train is fast and safe.,and,,"parallel, repeatition",
たり～たりする,日曜日には、本を読んだり、テレビを見たりします。,"On Sundays, we read books and watch TV.",do and do,,"parallel, repeatition",
たり～たりする,子どもたちがプールで、水から出たり入ったりしています。,The children are in and out of the pool.,repeatedly do  and,,"parallel, repeatition",
ては,夫はさっきから味を見てはなべの中をかき回している。どんな料理ができるのだろうか。,"My husband has been stirring the pot for a while now, looking at the flavors. I wonder what kind of food I will be able to cook.",alternately did and,,"parallel, repeatition",
とともに,手紙とともに当日の写真も同封した。,I enclosed a photo of the day with the letter.,together with,,"parallel, repeatition",
とともに,病気の子どものこととともに、いなくなった犬のことも気になって今日は仕事が手につきませんでした。,I was so worried about my sick child and my missing dog that I couldn't get any work done today.,and in addition,,"parallel, repeatition",
つ～つ,マラソンの最後の500メートルで二人の選手は抜きつ抜かれつの競争になった。,"In the last 500 meters of the marathon, the two runners were in a race to pass each other.","and, or, now..now",,"parallel, repeatition",
