W1,W2,W3,W4,W5
為る,張る,注ぐ,傷付ける,差し込む
居る,含める,引っ張る,巻き込む,躊躇う
有る,目指す,切れる,乗り込む,吐き出す
言う,愛する,陥る,潰す,近付ける
成る,隠す,数える,振るう,孵る
来る,集める,隠れる,囁く,当て嵌まる
思う,食う,咲く,然り,直る
行く,飛ぶ,高まる,傾ける,傾く
見る,齎す,備える,付け加える,遮る
出来る,叫ぶ,作り出す,蘇る,明く
拠る,逃げる,見出だす,見張る,儲ける
仕舞う,抜く,浮かべる,指差す,化する
分かる,落とす,申し上げる,遡る,割れる
持つ,暮らす,寄る,乾く,ぶつける
考える,降りる,味わう,足る,乱れる
遣る,果たす,叱る,倒す,捻る
出る,記す,辞める,持ち出す,赴く
就く,生む,整える,引き取る,託する
取る,問う,増す,狂う,振る舞う
聞く,止まる,震える,仕える,見抜く
下さる,掴む,代わる,絡む,混じる
知る,返す,辿る,固める,閉ざす
呉れる,過ごす,試す,痛む,講ずる
入る,追う,吹く,踏まえる,踏み込む
置く,扱う,好む,振り向く,拭う
使う,眠る,踊る,係る,題する
対する,及ぶ,巻く,果てる,追い込む
出す,怒る,積む,炊く,取り巻く
作る,要する,増やす,覗き込む,突き出す
行う,結ぶ,痩せる,染みる,脅す
知れる,図る,飾る,欠かす,着せる
書く,歌う,飼う,謳う,くっ付く
付ける,乗せる,揃う,貫く,仰ぐ
貰う,申す,噛む,飽きる,誓う
教える,支える,堪る,酔う,脅かす
掛ける,黙る,測る,さす,正す
得る,受け取る,頼る,読み取る,癒す
見える,抱える,嫌う,取り込む,言い聞かせる
入れる,叩く,治る,閉める,汲む
受ける,渡す,探る,蹴る,打ち出す
付く,育てる,満ちる,悟る,組み込む
違う,借りる,映る,贈る,感じ取る
始める,受け入れる,踏む,雇う,逸らす
呼ぶ,動かす,突く,銜える,余る
上げる,分ける,触る,乗り出す,俟つ
過ぎる,立ち上がる,遭う,呼び掛ける,慰める
感じる,訪れる,溜まる,営む,引っ越す
続ける,当てる,泊まる,傷付く,枯れる
食べる,巡る,交ぜる,溶ける,極める
掛かる,焼く,飛び出す,駆け付ける,歪む
変わる,伸ばす,埋める,片付ける,冷える
読む,出会う,褒める,治まる,燃やす
買う,助ける,収める,察する,からかう
生きる,望む,見上げる,誤る,広まる
切る,通う,晒す,睨む,塞ぐ
立つ,見付かる,放つ,整う,言い切る
帰る,上る,勤める,歩む,担ぐ
話す,亡くなる,解く,植える,凝らす
飲む,落ち着く,浴びる,這う,心得る
示す,纏める,成り立つ,争う,賭ける
関する,抜ける,拭く,言い替える,ずれる
与える,取り上げる,漂う,欠く,戸惑う
頂く,構う,苦しむ,焦る,弾む
戻る,戦う,犯す,削る,募る
開く,達する,築く,茹でる,握り締める
死ぬ,悩む,結び付く,据える,着ける
従う,洗う,交わす,縛る,揚げる
止める,疲れる,反する,結び付ける,垂れる
願う,着く,話し合う,誇る,荒れる
歩く,喋る,担う,捧げる,埋まる
待つ,慣れる,導く,掘る,聞き取る
求める,流す,無くす,祭る,滲む
認める,握る,引き受ける,締める,催す
会う,減る,次ぐ,裏切る,瞑る
続く,下げる,壊れる,取り付ける,付する
向かう,占める,放る,立ち止まる,切り離す
生まれる,優れる,敷く,遂げる,追い詰める
見せる,包む,差し出す,逃げ出す,帰す
当たる,吐く,受け止める,温める,持ち帰る
終わる,消す,下す,聞かす,写す
乗る,覗く,試みる,見下ろす,秘める
残る,勝つ,載せる,間に合う,湿る
述べる,浮かぶ,太る,飛ばす,例える
御座る,去る,効く,乗り越える,替える
立てる,回す,唱える,書き込む,引き付ける
答える,除く,造る,怯える,纏う
働く,育つ,伺う,苛める,昇る
送る,終える,揺れる,見送る,操る
始まる,外す,預ける,似合う,竦める
含む,呟く,捲る,呆れる,揉む
起こる,向く,取り戻す,焼ける,逆らう
関わる,負ける,引き上げる,引っ掛かる,裂く
忘れる,要る,役立つ,治す,張り付ける
済む,恐れる,話し掛ける,建つ,収まる
笑う,直す,出でる,冷める,ごまかす
為さる,設ける,燃える,流行る,敵う
変える,支払う,出来上がる,落ち込む,通り過ぎる
引く,迫る,飛び込む,劣る,差し上げる
売る,経る,絞る,取り除く,染まる
進む,振り返る,脱ぐ,撫でる,励む
渡る,断る,離す,免れる,申し込む
選ぶ,誘う,生える,嵌まる,近寄る
走る,越える,濡れる,心掛ける,損なう
現われる,取り出す,返る,課する,憧れる
住む,急ぐ,持ち込む,崩す,隔てる
伝える,慌てる,取り入れる,ばれる,親しむ
動く,訴える,込む,明ける,儲かる
決める,命ずる,曲がる,捕らえる,舞う
勧める,有する,祈る,見直す,吠える
気付く,別れる,投げる,面する,顰める
