Sentences,Translation
失ってしまうには あまりにも惜しい,It would be such a pity for them to disappear.
これは 平日に くたびれたサラリーマンが,This is a story about a tired office worker on a weekday.
そんな絶メシに出会う,Encountering such excellent food.
週末１泊２日の物語,A story of two days and one weekend.
それでは案内を開始します,Then we will begin the tour.
もうちょっと分かりやすいほうが いいかな,I think it's better if it's a little clearer.
それって具体的に言うと？,Can you be more specific?
比較対象をもっと入れるとか,We should add more comparisons.
それ直してたら てか もう定時なんで,"If we fix it, we're already on time."
飲み会あるんスよね 今日,We're having a party today.
いっぱいだしなぁ,It's a lot.
お疲れさまです,Thank you for your hard work.
送信！,Sending!
できましたよっと,It's done.
名古屋遠征 行ってきます,I'm off to Nagoya for an expedition.
帰りは明日(あした)の夕方くらいかな,I'll probably be back tomorrow evening.
目的地まで132キロ,It's 132 kilometres to our destination.
１時間52分くらい かかります,It'll take about an hour and 52 minutes.
週末 私は ちょっとした旅に出る,I'm going on a little trip this weekend.
その１ 期間は金曜の帰宅後から,The first rule is to start after I get home on Friday.
誰も誘わない　誰も巻き込まない,Invite no one. Involve no one.
目的地に着きました,You've arrived at your destination.
案内を終了します 運転 お疲れさまでした,This tour is over. Thank you for driving.
高速代 ガソリン代 食費,"Highway fare, gasoline, food."
いろいろ含め 小遣いの範囲内に収める,I'll try to keep it all within my allowance.
そのために必要不可欠なのは,"To do this, it is essential to."
日の出 見えないんだ？,Can't you see the sunrise?
隠れてる,It's hidden...
晴れて 富士山が見えますように,Let's hope it's a clear day and we can see Mt. Fuji.
ここ 評価高い,This place is highly rated.
案内を終了します,End guidance.
すみません あの　今 お店探してまして,We're looking for a place to eat.
うどん屋さんなんですけど,"It's a udon shop, but..."
あっ　ここも うどん屋さん,"Oh, this is also a udon shop."
でも ここは ちょっと違うかな,But this one's not quite right.
１名さまですね　どうぞ どうぞ,"One person, please. Come in."
大丈夫ですよ　席空いてるので,"It's okay, there's a seat available."
物好きだねえ,You're so curious.
吉田うどんだったら もっと あるでしょう　,I'm sure there are more Yoshida Udon.　
だいぶ ディープな席だ,That's a pretty deep seat.
注文はね それに書くの,We'll write our orders on that.
じゃ ここは 天ぷらうどん,We'll have tempura udon.
あ～ 書いてあげるよ,I'll write it down for you.
ここはね 肉うどんの一択だから,You can only choose meat udon here.
えっ？　大盛りにするかい？,What?　Do you want a large bowl?
えっ あ～ いや 普通で大丈夫です,"No, I'm fine with regular."
そもそも この人は店員さんなのか？,Is this guy a waiter in the first place?
やはり店員さん？,Is it the waitress?
あっ えっ 有名な人なんですか？,"Oh, he's famous?"
なら 知ってるわけない…,Then how would I know.
もう来なくていいよ,You don't have to come back.
