Time,Subtitle,T1,T2
32s,（松田杏奈(まつだあんな)）東都(とうと)新聞 松田です,Matsuda of Touto News.,"（I'm Matsuda, with the Toto News."
34s,え～ 現職大臣が 業者から金品を受け取り,The public's attention has been drawn by recent rumors,Rumor has surfaced that the incumbent minister received money and goods from a contractor.
36s,特定の建設会社に 便宜を図ったとの噂(うわさ)が浮上し,of an incumbent minister receiving payments,Rumors have surfaced that the current minister received money and goods from a contractor to provide favors to a certain construction company.
40s,世間の注目を 集めてるところかと思います,in return for doing favors for a certain construction company.,I'm sure it's caught the public's attention.
42s,（官邸報道室長） 質問 簡潔にお願いします,Keep your questions brief.,（Please keep your questions brief.
44s,（松田）秘書がやったと 大臣は主張されていますが,The minister contends that his secretary did it.,"（The Minister claims his secretary did it, but..."
47s,大臣本人の指示は 本当になかったのでしょうか？,Are you sure it wasn't done on the minister's orders?,But was there really no direction from the Minister himself?
51s,（官邸報道室長） 結論をお願いします,Please get to the point.,"（What is your conclusion, please?"
52s,（松田）総理の任命責任の追及も 避けられないと思いますが,The prime minister cannot avoid being held indirectly responsible.,（I think it's inevitable that the Prime Minister will be held accountable for his appointment.
56s,政府としては どのようにお考えですか？,What is the government's position on this?,What's the government's position on this?
58s,（官房長官） それは総理が判断されることです,That is for the prime minister to decide.,（That's for the Prime Minister to decide.
1:17,（刑事）ポイントＡ,"Report, position A.",（Point A.
1:21,（刑事） 乗客 まもなく降りてきます,Passengers are leaving soon.,（Passengers will be arriving shortly.
1:29,（石倉） マルタイ ただ今 ゲートを通過,Suspect has just left the gate.,"（""Maruti"" is passing through the gate."
1:43,（刑事）ポイントＣ こちらも通過しました,Suspect passing position C now.,"（Point C, also through."
2:11,東都新聞 松田です,Matsuda of Touto News.,"Matsuda, Toto Shinbun."
2:13,え～ では関連で 他の 政治と金問題についても 伺います,I'd like to ask another question related to corruption in politics.,"Let me ask you about another issue, politics and money."
2:17,先日 東日本大震災復興予算の 不正流用が明らかになりました,It was recently revealed there was a misuse of funds from the 2011 Earthquake Recovery Package.,"The other day, the misappropriation of the Great East Japan Earthquake reconstruction budget came to light."
2:22,（官邸報道室長） 質問 簡潔にお願いします,Keep your questions brief.,"（Brief questions, please."
2:30,（村上真一(むらかみしんいち)）いかがでしょうか？,What do you think? FINANCE BUREAU DIRECTOR-GENERAL'S OFFICE MINISTRY OF FINANCE,"（What do you think, Shin'ichi Murakami?"
2:42,（毛利義一(もうりよしかず)）総理夫人は？,The First Lady's thoughts?,（What about the Prime Minister's wife?
2:43,（村上） 正式に進めてほしいとのことです,She'd like it to go ahead officially.,（She'd like us to proceed formally.
2:46,ゴミの問題が多く残っていることは 知っています,She knows the waste issue still hasn't been resolved.,I know that there are still many problems with garbage.
2:49,ただ 立地条件 広さなど 環境は申し分ないと 夫人も おっしゃっています,But she says herself that the size and suitability of the site is perfect.,"But Mrs. Ono says the location, size and environment are perfect."
2:56,少し時間をもらおう 中部財務局に確認する,I'll need some time. I'll run this past the Chubu Local Finance Bureau.,I'll get some time to check with the Chubu Regional Finance Bureau.
3:00,（村上） 局長　こちらをご覧ください,"Director-General, please have a look at this.",（Director. Please take a look at this.
3:24,これは…,What's this?,This is...
3:25,公務としても最優先事案として ご検討ください,Please consider it a priority for your office.,Please consider this a matter of the highest priority as an official duty.
