S1,T1,S2,T2,S3,T3
面接に際して,on the occasion of interview,暮らしやすい,easy to live in,苦汁を飲まされた,
面接の際に,during the interview,元気がないようだ,doesn’t look well,,
面接を受けるに先立って,prior to the interview,みんなが迷惑している,everyone is annoyed,,
面接にあたり,on the occasion of an interview,若く見られることが多い,fften looks younger,,
引っ越しに際して,upon moving,激しい雨が降り続いた,heavy rains continued,,
購入するに際して,when you purchase,原因かもしれない,might be the cause,,
申し込むに際して,when applying,このごろ物忘れがひどい,been forgetful these days,,
昨夜から今朝にかけて,from last night till this morning,言うとおりに,as someone says,,
九州北部から中部にかけて,from northern to central Kyushu,なかなか予定どおりに,as planned,,
肩から腰にかけて,from the shoulders to the waist,寒さが厳しいそうだ,I hear it's cold,,
間違いだらけ,full of errors,値上がりす るそうだ,the price is going up,,
道は石ころだらけ,the road is full of stones,とても忙しい,very busy,,
手伝ってくれたおかげ,thanks for the help,はっきりしていて読みやすい,clear and easy to read,,
医療技術の進歩のおかげで,thanks to advances in medical technology,おみやげに買ってきてくれる,they buy it as a souvenir,,
信じたおかげで,thanks for believing.,つい要い らないものまで買ってしまう,I end up buying things I don't need,,
けい気き が悪いせいで,because of a bad temper,ずいぶん大きくなっていた,It had grown a lot,,
あの人のせいで,because of that man,電車が出てしまった,the train has left,,
気のせいか,is it just my imagination?,作って驚かせよう,make it and surprise them!,,
年のせいか,perhaps because of one's age,引き落としできません,cannot be debited,,
気候が温暖なせいか,perhaps it's because of the mild climate,休ませていただきます,we will take a break,,
黒板に書いたとおりに,as written on the blackboard,これからご説明いたします,let me explain now,,
なかなか思ったとおりに,not quite as expected,合併計画が進められている,merger plans are underway,,
思いどおりに,as one likes,よくまとまっている,well organized,,
例のとおりに,as usual,次々と建てられている,being built one after another,,
暗くならないうちに,before it gets dark,飛び回っている,flying around,,
暗くなる前に,before it gets dark,楽しみに待っています,looking forward to it!,,
忘れないうちに,before forgetting something,,,,
寝ているうちに,while asleep,,,,
テレビを見ているうちに,while watching tv,,,,
切符を買っているうちに,while buying a ticket,,,,
申し込み手続きに関して,in relation to application procedures,,,,
環境問題に関する,relating to environmental issues,,,,
その件に関しましては,as for that matter,,,,
旅行のたびに,every time I travel,,,,
活躍を聞くたびに,every time I hear about your success,,,,
テストに加えて,In addition to the test,,,,
文法の間違いが少ないことに加え,In addition to fewer grammatical errors,,,,
値上がりに加え,In addition to price increases,,,,
それに加え,in addition to this,,,,
昼間に比べて,compared to daytime,,,,
日本の歴史について,about Japanese history,,,,
進路について,about career paths,,,,
この記き事じについて,about this sign,,,,
新しい事業計画につき,about the new business plan,,,,
定休日につき,due to the regular holiday,,,,
残高不足につき,due to insufficient balance,,,,
駅前を中心に,centered in front of the station,,,,
大学生を中心とする,focused on college students,,,,
