S1,T1,S2,T2,S3,T3
時々散歩にでかける,i sometimes go out for a walk,そんな事忘れてしまえ,forget that!,絶対に興奮するな,don’t lose your cool
ゆっくりどうぞ,take your time,この雑誌は毎月出る,this magazine is issued every month,レジでお願いします,please pay at the register
だんだん暗くなりつつある,it is getting darker and darker,そんな遠慮しないで,don’t be so reserved,この魚おいしい,this fish is delicious
石鹸、取って,give me the soap,人には誰でも弱点はある,every man has his weak side,いつ京都に着いたの？,when did you get to Kyoto?
早く用意して,get ready quickly,誰も玄関へ応対に出なかった,nobody answered the door,寿司は好きですか,do you like sushi?
早く起きろ,get up early,いつ目が覚めたの？,when did you wake up?,窓側の席はあるか,do you have a window seat?
とても高い,very expensive,私もそんな気がする,"I think so, too",歩いて帰るの？,are you walking home?
かなり深刻なようだ,it seems to be serious,昨日そこへ行ったよ,i went there yesterday,この道は公園に至る,this road goes to the park
どんな雑誌でも結構です,any magazine will do,肥満を注意する,pay attention to obesity,家に来て,come home
今日は大分暖かいね,it’s fairly warm today,お昼頃に始まったのよ,it started around noon,日本食食べたことある？,have you ever eaten Japanese food?
会合は先月行われた,the meeting was held last month,望みを捨てちゃ駄目だよ,don’t give up hope,会計をお願いします,could I have the check?
今とても忙しい,i’m very busy right now,京都の出身ですか,are you from Kyoto?,寿司を食べようよ,let’s eat sushi
いや、全然,"nope, not at all",野菜を積極的に摂る,condume vegetables actively,忙しくなった,I got busy
昨日の花火見た？,did you see yesterday's fireworks?,彼は紅茶を注文した,he ordered a cup of tea,肉に塩をかけよう,out some salt on the meat
窓を開けて下さいませんか,do you mind opening the window?,彼女は本当に親切だ,she is kindness itself,昨日は寒かった,it was cold yesterday
ずいぶんと古いな,it’s very old,電話番号を教えて,give me your phone number,日本は初めてですか,Is this your first visit to Japan?
どっち取る？,which one do you take,すぐに出発しよう,let’s go right away,とてもおいしいよ,It tastes very good
斜め薄切りにする,slice diagonally into thin slices,注文の品が届いた,the items which you ordered arrived,これは普通のこと？,Is this normal?
彼は早く寝た,he went to bed early,ご注文なさいますか,would you like to order?,家はどこ？,where is your house
塩を取って下さい,"pass me the salt, please",終電に間に合う,be on time for the last train,そんなこと言わないで,don’t say such a thing
あとで教えて下さい,please explain it to me later,塩をすり込む,rub salt into,このお茶美味しい,this tea tastes good
ゆっくり歩いてよ,walk slowly,彼はいつも雑誌を読む,he always reads a magazine,絶対に確信ある？,are you absolutely sure?
全然眠れない,can’t sleep at all,母は雑誌を読んでいる,my mother is reading a magazine,寿司をご馳走します,I'll treat you to sushi
あまり無理するなよ,don’t work yourself too hard,あまいものを控える,refrain from eating sugary foods,至急お願いします,it’s urgent
あとで注文します,I'll order that later,私は数回彼に会った,i met him several times,それが重要な点です,that’s the point
周囲に豚肉を並べる,arrange the pork around it,靴がすり減った,my shoes are worn out,窓側の席をお願いします,"I'd like a window seat, please"
彼は満点を取った,he got full marks,今日出発するの？,are you leaving today?,肉を食べますか,do you eat meat?
残りはとっておけ,keep the rest for yourself,食生活を見直す,review your diet,雪になりそうだ,It looks like snow
のんびり行こう,take it easy,道に缶をすてるな,don’t throw away cans on the street,昨日本を買った,i bought a book yesterday
靴を履いて,out on your shoes,注文を確認しました,I confirmed the order,彼の姉さんはすごい美人だ,his sister is a real beauty
あとで電話します,I'll call you later,誰もが興奮していた,everyone was excited,日本食はお好きですか,do you like Japanese food?
傘を買った,i bought an umbrella,昨日は小雨だった,there was a light rain yesterday,人々は自由を愛する,people love freedom
容器に詰める,stuff into the container,お酒を控える,refrain from drinking alcoholic beverages,ぜひお願いします,by all means
ずいぶん若く見えるよ,you look pretty young,村まで長い道のりだ,It is a long way to the village,前金でお願いします,you need to pay in advance
何買ったの？,what did you buy?,番号が違っています,I'm afraid you have the wrong number,本当に美味しい,It tastes really yummy
たまには外食しようよ,how about dining out for a change?,今から帰る？,are you going back now?,美味しいと思う,I think this tastes good
その車はなかなか新しい,that car is quite new,誰かがこの皿を割りました,somebody has broken this dish,お肉凍ってるよ,the meat is frozen
あまり希望がない,there is not much hope,この鍵を預かってくれ,please take charge of this key,雨は激しく降った,It rained heavily
何か見える？,can you see something?,私は朝早く起きた,i got up early in the morning,あまり希望がない,there is not much hope
お塩とって,pass me the salt,人は誰でも平等である,all are equal,勘定お願いします,"the check, please"
ここは初めてですか？,Is this your first time here?,果物を食べるのはほどほどに,eat fruits in moderation,窓側の席がいいです,I'd like a window seat
ねぎを敷き,lay out the spring onions,血圧をこまめにチェックする,check blood pressure frequently,これは完全に普通だ。,this is perfectly normal
徐々に見えて来た,gradually came in sight,初めて作りました,I made it for the first time,視力は普通です,i have normal eyesight
今日はかなり寒い,it is pretty cold today,靴って高いな,shoes are expensive,昨日は暑かった,it was hot yesterday
時早く過ぎる,time flies,日本の雑誌はありますか,do you have any Japanese magazines?,明日会いに来てください,you can visit me tomorrow
全然怖くなかったよ,i wasn't scared at all,適度な運動を心がける,keep in mind that moderate exercise is important,ピザを注文したの誰？,who ordered pizza?
後で取りに来ます,I'll come to pick it up later,女性はだれですか,who is the woman?,昨日は雪だった,it snowed yesterday
昨日病気でした,i was ill yesterday,材料を混ぜ合わせる,mix ingredients together,この肉は生煮えだ,the meat is only half cooked
