Words,Meaning,Sentences,Translation
仲良く,"on good terms with, on cordial terms with, getting along well with, to get along with",私たちは隣近所とは仲良くしている。,We get on well with our neighbors.
ゴール,"goal, basket (basketball), finishing line, winning post",彼はボールをゴールに蹴り入れた。,He kicked the ball into the goal.
救急車,ambulance,病人は救急車で病院へ急いで運ばれた。,The sick person was rushed to the hospital in an ambulance.
パトカー,patrol car,私たちはパトカーが全速力で走っているのを見た。,We saw a patrol car running at full speed.
勘弁,"pardon, forgiveness, forbearance",ちょっと勘弁して下さい。,"Give me a break, will you?"
血液,blood,適度な運動は血液の循環を活発にする。,Moderate exercise stimulates the circulation of blood.
赤ちゃん,"baby, infant",私は赤ちゃんが目を覚まさないようにつま先で歩いた。,I walked on tiptoes so as not to wake the baby.
そそぐ,"to pour (into), to sprinkle on (from above), to water (e.g. plants), to pour onto, to spray, to flow into (e.g. of a river), to run into, to drain into",彼女は洗面器に水を注いだ。,She poured water into the basin.
そそぐ,"to pour (into), to sprinkle on (from above), to water (e.g. plants), to pour onto, to spray, to flow into (e.g. of a river), to run into, to drain into",小川が湖に注いでいる。,A stream flows into the lake.
越し,"across, over, beyond, through, crossing, throughout (a period of time), for",彼は眼鏡越しに私をにらみつけた。,He looked sharply at me over his spectacles.
打撃,"blow, shock, strike, damage, batting",円高はその会社にとって致命的な打撃だった。,The strong yen was a fatal blow to the company.
承諾,"consent, approval, acceptance, agreement, compliance",私はその計画を承諾することができません。,I cannot approve the project.
脅迫,"threat, menace, coercion, terrorism",彼女は彼の発言を脅迫と解釈した。,She interpreted his remarks as a threat.
転じる,"to turn, to shift, to alter, to distract",災いを転じて福としなさい。,Turn your misfortune to account.
溝,"ditch, drain, gutter, trench, groove, tread, gap (between people, countries, etc.), gulf",彼はその浅い溝を飛び越えた。,He leaped over the shallow ditch.
