Question,Options,Answer
紅茶にはミルクも砂糖＿＿＿入れません。,1. も　2. を　3. は　4. しか,1. も
横断報道＿＿＿歩いて渡った。,1. に　2. へ　3. を　4. で,3. を
今日、街で＿＿＿そうなケーキ屋さんを見つけた。,1. おいし　2. おいしい　3. おいしくて　4. おいしいの,1. おいし
今日は＿＿＿帰っていいですか。,1. よく　2. もう　3. まだ　4. ほぼ,2. もう
電気を＿＿＿くれませんか。,1. つき　2. ついて　3. つけて　4. きえて,3. つけて
めがねを＿＿＿と全然見えんあんです。,1. ぬぐ　2. はがす　3. かぶる　4. はずす,4. はずす
＿＿＿いないでまじめに考えなさい。,1. ころんで　2. ふざけて　3. ならって　4. がんばって,2. ふざけて
失敗を＿＿＿いては何もできない。まず、やってみることだ。,1. 怒れて　2. 忘れて　3. ふさいで　4. 覚えて,1. 怒れて
息子は誕生日のプレゼントに新しい自転車を＿＿＿いる。,1. ほしくて　2. ほしいて　3. ほしがる　4. ほしがって,4. ほしがって
弟、地区の代表＿＿＿全国大会に出場した。,1. として　2. にして　3. にあたって　4. にかけて,1. として
彼は大事なことを隠している＿＿＿違いない。,1. から　2. かも　3. も　4. に,4. に
雨は朝＿＿＿やむでしょう。,1. には　2. しか　3. ほど　4. でも,1. には
病院行きのバスは１０分＿＿＿に出ている。,1. ずつ　2. おき　3. ほど　4. どおり,2. おき
暖かい＿＿＿食べてくださいね。,1. ぐらい　2. うちに　3. ように　4. までに,2. うちに
＿＿＿でテーブルの汚れをふき取った。,1. テイッシュ　2. ベッド　3. プリンター　4. ゲーム,1. テイッシュ
今、勉強しているので、テレビの＿＿＿を下げてください。,1. チャンネル　2. デジタル　3. ボリューム　4. ステレオ,3. ボリューム
あの新入社員も一年たつと仕事がすっかり＿＿＿についてきた。,1. 腕　2. 枝　3. 鼻　4. 板,4. 板
家族の＿＿＿をよそに、父は単身で転勤先に赴いた。,1. 関係　2. 皆　3. 安心　4. 心配,4. 心配
ご＿＿＿は？北海道です。,1. 生育　2. 在宅　3. 成分　4. 出身,4. 出身
今度のプロジェクトが成功するかどうかはみんなの努力に＿＿＿いる。,1. かけて　2. かかって　3. およんで　4. ついて,2. かかって
この仕事は鈴木さんに任せれば失敗することは＿＿＿。,1. ありかねる　2. ありかねない　3. あるまい　4. あるまいか,3. あるまい
肉を焼きすぎて＿＿＿しまった。,1. いためて　2. ゆでて　3. こがして　4. むして,3. こがして
家から職場までは非常に近く、＿＿＿のさきだ。,1. 手と指　2. 目と鼻　3. 顔と頭　4. 胸と腹,2. 目と鼻
何度もやっているうちに、だんだん＿＿＿がつかめてきた。,1. のど　2. きも　3. こつ　4. かなめ,3. こつ
