Expression,Translation
この本を貸していただけますか。,Can you lend me this book?
東京を案内していただけますか。,Can you show us around Tokyo?
チケットを見せてください。 ,Please show your ticket.
チケットを見せてもらえますか。,Can I see your ticket?
チケットを見せてくださいませんか。,"Can I see your ticket, please?"
肉と野菜とどちらが好きですか。,Do you prefer meat or vegetables?
ご注文は以上でよろしいですか。,Is that all you have ordered?
お席はエコノミークラスでよろしいですか。,Is your seat in economy class?
それでお願いします。,So please do.
大盛りでお願いします,"Large serving, please."
鉛筆で書いてください。,Please write in pencil.
学校で勉強します。,Study at school.
 社長はもうお帰りになりました。, The president has already left.
この本は先生がお書きになりました。,This book was written by a teacher.
必要なものはございますか。,Do you have what you need?
私 が担当でございます。,I am in charge of this.
