Casual,Keigo,Translation
だ,研究会の会長<b>でいらっしゃいます</b>。,He is the president of a research group.
だ,お元気<b>でいらっしゃる</b>そうです。,He is said to be in good health.
る,今日は何時<b>ご</b>ろお帰り<b>になります</b>か。,What time will you be back today?
する,何年に大学を<b>ご</b>卒業<b>になった</b>のですか。,In what year did you graduate from the university?
てください,こちらにお名前を<b>お</b>書き<b>ください</b>。,Please write your name here.
てください,ぜひ<b>ご</b>連絡<b>ください</b>。,Please contact us.
ている,京都に住ん<b>でいらっしゃいます</b>。,He lives in Kyoto.
ている,何を<b>お</b>探し<b>です</b>か。,What are you looking for?
ている,新エネルギーを研究し<b>ておいでになります</b>。,He is researching new energy sources.
てくれる,推薦書を書い<b>てくださいました</b>。,He wrote a letter of recommendation.
